morocco;Morocco

algeria;Algeria

tunisia;Tunisia

libya;Libya

egypt;Egypt

westernsahara;Western Sahara

mauritania;Mauritania

mali;Mali

gambia;Gambia

senegal;Senegal

guineabissau;Guinea-Bissau

guinea;Guinea

sierraleone;Sierra Leone

liberia;Liberia

ivorycoast;Ivory Coast

ghana;Ghana

burginafaso;Burkina Faso

togo;Togo

benin;Benin

niger;Niger

nigeria;Nigeria

chad;Chad

sudan;Sudan

eritrea;Eritrea

ethiopia;Ethiopia

djibouti;Djibouti

somalia;Somalia

cameroon;Cameroon

gabon;Gabon

equatorialguinea;Equatorial Guinea

congo;Congo

carepublic;Central African Republic

drcongo;Democratic Republic of Congo

uganda;Uganda

kenya;Kenya

tanzania;Tanzania

rwanda;Rwanda

burundi;Burundi

malawi;Malawi

zambia;Zambia

angola;Angola

namibia;Namibia

botswana;Botswana

zimbabwe;Zimbabwe

mozambique;Mozambique

southafrica;South Africa

lesotho;Lesotho

swaziland;Swaziland

madagascar;Madagascar

