morocco;摩洛哥
algeria;阿尔及利亚
tunisia;突尼斯
libya;利比亚
egypt;埃及
westernsahara;西撒哈拉
mauritania;毛里塔尼亚
mali;马里
gambia;冈比亚
senegal;塞内加尔
guineabissau;几比
guinea;几内亚
sierraleone;塞拉利昂
liberia;利比里亚
ivorycoast;象牙海岸
ghana;加纳
burginafaso;布基纳法索
togo;多哥
benin;贝宁
niger;尼日尔
nigeria;尼日利亚
chad;乍得
sudan;苏丹
eritrea;厄立特里亚
ethiopia;埃塞俄比亚
djibouti;吉布提
somalia;索马里
cameroon;喀麦隆
gabon;加蓬
equatorialguinea;赤道几内亚
congo;刚果
carepublic;中非
drcongo;刚果金
uganda;乌干达
kenya;肯尼亚
tanzania;坦桑尼亚
rwanda;卢旺达
burundi;布隆迪
malawi;马拉维
zambia;赞比亚
angola;安哥拉
namibia;纳米比亚
botswana;博茨瓦纳
zimbabwe;津巴布韦
mozambique;莫桑比克
southafrica;南非
lesotho;莱索托
swaziland;史瓦济兰
madagascar;马达加斯加
