key;pinyin;simp;trad;eng
shanghai;Shang4hai3;上海;上海;Shanghai
beijing;Bei3jing1;北京;北京;Peking
tianjin;Tian1jin1;天津;天津;Tientsin
wuhan;Wu3han4;武汉;武漢;Wuhan
shenyang;Shen3yang2;沈阳;瀋陽;Shenyang
guangzhou;Guang3zhou1;广州;廣州;Canton
harbin;Ha1'er3bin1;哈尔滨;哈爾濱;Harbin
xian;Xi1'an1;西安;西安;Xian
chongqing;Chong2qing4;重庆;重慶;Chongqing
jiulong;Jiu3long2;九龙;九龍;Kowloon
chengdu;Cheng2du1;成都;成都;Chengdu
changchun;Chang2chun1;長春;長春;Changchun
nanjing;Nan2jing1;南京;南京;Nanjing
taiyuan;Tai4yuan2;太原;太原;Taiyuan
jinan;Ji3nan2;济南;濟南;Jinan
dalian;Da4lian2;大连;大連;Dalian
qingdao;Qing1dao3;青岛;青島;Tsingtao
fushun;Fu3shun4;抚顺;撫順;Fushun
lanzhou;Lan2zhou1;兰州;蘭州;Lanzhou
xianggang;Xiang1gang3;香港;香港;Hong Kong
taibei;Tai2bei3;台北;臺北;Taipei
lasa;La1sa4;拉萨;拉薩;Lhasa


