tags;type;fill;outline;smooth;coords
amur;polygon;blue;black;0;[713.0, 159.0, 715.0, 140.0, 671.0, 144.0, 621.0, 88.0, 567.0, 81.0, 532.0, 132.0, 534.0, 153.0, 593.0, 138.0, 590.0, 129.0, 567.0, 125.0, 575.0, 101.0, 613.0, 105.0, 626.0, 139.0, 657.0, 151.0, 659.0, 159.0, 675.0, 168.0, 702.0, 157.0]
amur;oval;red;black;0;[622.0, 114.0, 642.0, 134.0]
yellowriver;polygon;blue;black;0;[559.0, 275.0, 509.0, 311.0, 486.0, 318.0, 463.0, 314.0, 469.0, 255.0, 445.0, 249.0, 395.0, 334.0, 363.0, 335.0, 336.0, 304.0, 397.0, 289.0, 429.0, 237.0, 481.0, 243.0, 474.0, 299.0, 500.0, 303.0, 549.0, 273.0]
yellowriver;oval;red;black;0;[438.0, 237.0, 458.0, 257.0]
yangtze;polygon;blue;black;0;[587.0, 346.0, 556.0, 331.0, 531.0, 357.0, 450.0, 354.0, 377.0, 396.0, 356.0, 344.0, 316.0, 304.0, 287.0, 321.0, 312.0, 341.0, 311.0, 318.0, 347.0, 346.0, 362.0, 411.0, 392.0, 419.0, 454.0, 365.0, 486.0, 376.0, 527.0, 377.0, 551.0, 346.0, 576.0, 354.0]
yangtze;oval;red;black;0;[445.0, 351.0, 465.0, 371.0]
pearlriver;polygon;blue;black;0;[503.0, 467.0, 428.0, 439.0, 408.0, 447.0, 389.0, 441.0, 403.0, 413.0, 504.0, 449.0, 508.0, 459.0]
pearlriver;oval;red;black;0;[469.0, 442.0, 489.0, 462.0]
mekongriver;polygon;blue;black;0;[371.0, 473.0, 347.0, 388.0, 312.0, 341.0, 311.0, 318.0, 347.0, 346.0, 362.0, 411.0, 374.0, 427.0, 379.0, 456.0]
mekongriver;oval;red;black;0;[359.0, 433.0, 379.0, 453.0]
brahmaputra;polygon;blue;black;0;[312.0, 397.0, 307.0, 385.0, 253.0, 387.0, 212.0, 381.0, 156.0, 345.0, 210.0, 368.0, 270.0, 373.0, 327.0, 370.0, 323.0, 389.0]
brahmaputra;oval;red;black;0;[266.0, 370.0, 286.0, 390.0]
himalaya;polygon;blue;black;0;[315.0, 407.0, 226.0, 411.0, 129.0, 357.0, 144.0, 333.0, 169.0, 323.0, 184.0, 353.0, 156.0, 345.0, 212.0, 381.0, 253.0, 387.0, 307.0, 385.0, 312.0, 397.0]
himalaya;oval;red;black;0;[221.0, 388.0, 241.0, 408.0]
kunlun;polygon;blue;black;0;[127.0, 291.0, 191.0, 309.0, 281.0, 274.0, 272.0, 254.0, 207.0, 286.0, 181.0, 293.0, 138.0, 277.0]
kunlun;oval;red;black;0;[204.0, 279.0, 224.0, 299.0]
tianshan;polygon;blue;black;0;[113.0, 234.0, 220.0, 205.0, 231.0, 223.0, 125.0, 255.0]
tianshan;oval;red;black;0;[159.0, 215.0, 179.0, 235.0]
tarimbasin;polygon;blue;black;0;[289.0, 239.0, 272.0, 254.0, 181.0, 293.0, 138.0, 277.0, 125.0, 255.0, 231.0, 223.0]
tarimbasin;oval;red;black;0;[186.0, 250.0, 206.0, 270.0]
tibetanplateau;polygon;blue;black;0;[281.0, 274.0, 287.0, 321.0, 327.0, 370.0, 266.0, 370.0, 210.0, 368.0, 184.0, 353.0, 169.0, 323.0, 191.0, 309.0]
tibetanplateau;oval;red;black;0;[228.0, 326.0, 248.0, 346.0]
beihengshan;polygon;blue;black;0;[500.0, 238.0, 503.0, 256.0, 486.0, 255.0, 486.0, 242.0]
beihengshan;oval;red;black;0;[484.0, 238.0, 504.0, 258.0]
wutaishan;polygon;blue;black;0;[507.0, 260.0, 509.0, 276.0, 490.0, 273.0, 491.0, 261.0]
wutaishan;oval;red;black;0;[489.0, 258.0, 509.0, 278.0]
huashan;polygon;blue;black;0;[467.0, 326.0, 451.0, 324.0, 451.0, 309.0, 463.0, 314.0]
huashan;oval;red;black;0;[447.0, 310.0, 467.0, 330.0]
songshan;polygon;blue;black;0;[510.0, 313.0, 512.0, 329.0, 495.0, 330.0, 494.0, 319.0]
songshan;oval;red;black;0;[492.0, 311.0, 512.0, 331.0]
taishan;polygon;blue;black;0;[530.0, 310.0, 545.0, 306.0, 541.0, 290.0, 526.0, 302.0]
taishan;oval;red;black;0;[525.0, 293.0, 545.0, 313.0]
putuoshan;polygon;blue;black;0;[593.0, 356.0, 598.0, 376.0, 577.0, 376.0, 577.0, 360.0]
putuoshan;oval;red;black;0;[575.0, 357.0, 595.0, 377.0]
jiuhuashan;polygon;blue;black;0;[555.0, 353.0, 556.0, 371.0, 534.0, 370.0, 548.0, 352.0]
jiuhuashan;oval;red;black;0;[537.0, 353.0, 557.0, 373.0]
nanhengshan;polygon;blue;black;0;[504.0, 402.0, 505.0, 424.0, 484.0, 424.0, 483.0, 402.0]
nanhengshan;oval;red;black;0;[484.0, 403.0, 504.0, 423.0]
emeishan;polygon;blue;black;0;[409.0, 356.0, 409.0, 373.0, 392.0, 375.0, 391.0, 358.0]
emeishan;oval;red;black;0;[393.0, 357.0, 413.0, 377.0]
