tags;type;fill;outline;smooth;coords
amur;polygon;blue;black;0;[713.0, 159.0, 715.0, 140.0, 671.0, 144.0, 621.0, 88.0, 567.0, 81.0, 532.0, 132.0, 534.0, 153.0, 593.0, 138.0, 590.0, 129.0, 567.0, 125.0, 575.0, 101.0, 613.0, 105.0, 626.0, 139.0, 657.0, 151.0, 659.0, 159.0, 675.0, 168.0, 702.0, 157.0]
amur;point;red;black;0;[632.0, 124.0]
yellowriver;polygon;blue;black;0;[559.0, 275.0, 509.0, 311.0, 486.0, 318.0, 463.0, 314.0, 469.0, 255.0, 445.0, 249.0, 395.0, 334.0, 363.0, 335.0, 336.0, 304.0, 397.0, 289.0, 429.0, 237.0, 481.0, 243.0, 474.0, 299.0, 500.0, 303.0, 549.0, 273.0]
yellowriver;point;red;black;0;[448.0, 247.0]
yangtze;polygon;blue;black;0;[587.0, 346.0, 556.0, 331.0, 531.0, 357.0, 450.0, 354.0, 377.0, 396.0, 356.0, 344.0, 316.0, 304.0, 287.0, 321.0, 312.0, 341.0, 311.0, 318.0, 347.0, 346.0, 362.0, 411.0, 392.0, 419.0, 454.0, 365.0, 486.0, 376.0, 527.0, 377.0, 551.0, 346.0, 576.0, 354.0]
yangtze;point;red;black;0;[455.0, 361.0]
pearlriver;polygon;blue;black;0;[503.0, 467.0, 428.0, 439.0, 408.0, 447.0, 389.0, 441.0, 403.0, 413.0, 504.0, 449.0, 508.0, 459.0]
pearlriver;point;red;black;0;[479.0, 452.0]
mekongriver;polygon;blue;black;0;[371.0, 473.0, 347.0, 388.0, 312.0, 341.0, 311.0, 318.0, 347.0, 346.0, 362.0, 411.0, 374.0, 427.0, 379.0, 456.0]
mekongriver;point;red;black;0;[369.0, 443.0]
brahmaputra;polygon;blue;black;0;[312.0, 397.0, 307.0, 385.0, 253.0, 387.0, 212.0, 381.0, 156.0, 345.0, 210.0, 368.0, 270.0, 373.0, 327.0, 370.0, 323.0, 389.0]
brahmaputra;point;red;black;0;[276.0, 380.0]
himalaya;polygon;blue;black;0;[315.0, 407.0, 226.0, 411.0, 129.0, 357.0, 144.0, 333.0, 169.0, 323.0, 184.0, 353.0, 156.0, 345.0, 212.0, 381.0, 253.0, 387.0, 307.0, 385.0, 312.0, 397.0]
himalaya;point;red;black;0;[231.0, 398.0]
kunlun;polygon;blue;black;0;[127.0, 291.0, 191.0, 309.0, 281.0, 274.0, 272.0, 254.0, 207.0, 286.0, 181.0, 293.0, 138.0, 277.0]
kunlun;point;red;black;0;[214.0, 289.0]
tianshan;polygon;blue;black;0;[113.0, 234.0, 220.0, 205.0, 231.0, 223.0, 125.0, 255.0]
tianshan;point;red;black;0;[169.0, 225.0]
tarimbasin;polygon;blue;black;0;[289.0, 239.0, 272.0, 254.0, 181.0, 293.0, 138.0, 277.0, 125.0, 255.0, 231.0, 223.0]
tarimbasin;point;red;black;0;[196.0, 260.0]
tibetanplateau;polygon;blue;black;0;[281.0, 274.0, 287.0, 321.0, 327.0, 370.0, 266.0, 370.0, 210.0, 368.0, 184.0, 353.0, 169.0, 323.0, 191.0, 309.0]
tibetanplateau;point;red;black;0;[238.0, 336.0]
beihengshan;polygon;blue;black;0;[500.0, 238.0, 503.0, 256.0, 486.0, 255.0, 486.0, 242.0]
beihengshan;point;red;black;0;[494.0, 248.0]
wutaishan;polygon;blue;black;0;[507.0, 260.0, 509.0, 276.0, 490.0, 273.0, 491.0, 261.0]
wutaishan;point;red;black;0;[499.0, 268.0]
huashan;polygon;blue;black;0;[467.0, 326.0, 451.0, 324.0, 451.0, 309.0, 463.0, 314.0]
huashan;point;red;black;0;[457.0, 320.0]
songshan;polygon;blue;black;0;[510.0, 313.0, 512.0, 329.0, 495.0, 330.0, 494.0, 319.0]
songshan;point;red;black;0;[502.0, 321.0]
taishan;polygon;blue;black;0;[530.0, 310.0, 545.0, 306.0, 541.0, 290.0, 526.0, 302.0]
taishan;point;red;black;0;[535.0, 303.0]
putuoshan;polygon;blue;black;0;[593.0, 356.0, 598.0, 376.0, 577.0, 376.0, 577.0, 360.0]
putuoshan;point;red;black;0;[585.0, 367.0]
jiuhuashan;polygon;blue;black;0;[555.0, 353.0, 556.0, 371.0, 534.0, 370.0, 548.0, 352.0]
jiuhuashan;point;red;black;0;[547.0, 363.0]
nanhengshan;polygon;blue;black;0;[504.0, 402.0, 505.0, 424.0, 484.0, 424.0, 483.0, 402.0]
nanhengshan;point;red;black;0;[494.0, 413.0]
emeishan;polygon;blue;black;0;[409.0, 356.0, 409.0, 373.0, 392.0, 375.0, 391.0, 358.0]
emeishan;point;red;black;0;[403.0, 367.0]
