amur;Hei1long2jiang1;黑龙江;黑龍江;Amur River
yellowriver;Huang2he2;黄河;黃河;Yellow River
yangtze;Chang2jiang1;长江;長江;Yangtze River
pearlriver;Zhu1jiang1;珠江;珠江;Pearl River
mekongriver;Mei2gong1he2;湄公河;湄公河;Mekong River
brahmaputra;Ya3lu3zan4bu4jiang1;雅鲁藏布江;雅魯藏布江;Brahmaputra
himalaya;Xi3ma3la1ya3;喜马拉雅;喜馬拉雅;the Himalayas
kunlun;Kun1lun2shan1;昆崙山;崑崙山;Kunlun mountains
tianshan;Tian1shan1;天山;天山;Tian Shan mountains
tarimbasin;Ta3li3mu4pen2di4;塔里木盆地;塔裡木盆地;Tarim Basin
tibetanplateau;Qing1zang4gao1yuan2;青藏高原;青藏高原;Tibetan Plateau
beihengshan;Bei3heng2shan1;北恒山;北恆山;Permanent Mountain
wutaishan;Wu3tai2shan1;五台山;五臺山;Five-Terrace Mtn
huashan;Hua4shan1;华山;華山;Splendid Mountain
songshan;Song1shan1;嵩山;嵩山;Lofty Mountain
taishan;Tai4shan1;泰山;泰山;Leading Peaceful Mtn
putuoshan;Pu3tuo2shan1;普陀山;普陀山;Potala Mountain
jiuhuashan;Jiu3hua2shan1;九华山;九華山;Nine-Glories Mtn
nanhengshan;Nan2heng2shan1;南衡山;南衡山;Balancing Mountain
emeishan;E2mei2shan1;峨眉山;峨眉山;Delicate-Eyebrow Mtn
