amur;Amur River

yellowriver;Yellow River

yangtze;Yangtze River

pearlriver;Pearl River

mekongriver;Mekong River

brahmaputra;Brahmaputra

himalaya;the Himalayas

kunlun;Kunlun mountains

tianshan;Tian Shan mountains

tarimbasin;Tarim Basin

tibetanplateau;Tibetan Plateau

beihengshan;Permanent Mountain

wutaishan;Five-Terrace Mtn

huashan;Splendid Mountain

songshan;Lofty Mountain

taishan;Leading Peaceful Mtn

putuoshan;Potala Mountain

jiuhuashan;Nine-Glories Mtn

nanhengshan;Balancing Mountain

emeishan;Delicate-Eyebrow Mtn

