tags;type;fill;outline;smooth;coords
xinjiang;polygon;blue;black;0;[212.0, 199.0, 217.0, 169.0, 283.0, 133.0, 307.0, 179.0, 346.0, 210.0, 311.0, 230.0, 308.0, 254.0, 279.0, 257.0, 266.0, 284.0, 177.0, 282.0, 146.0, 221.0, 169.0, 203.0]
xinjiang;point;red;black;0;[246.0, 224.0]
xizang;polygon;blue;black;0;[166.0, 312.0, 226.0, 372.0, 287.0, 395.0, 343.0, 389.0, 355.0, 384.0, 333.0, 333.0, 321.0, 349.0, 268.0, 322.0, 266.0, 284.0, 177.0, 282.0]
xizang;point;red;black;0;[241.0, 334.0]
qinghai;polygon;blue;black;0;[341.0, 256.0, 389.0, 295.0, 383.0, 326.0, 333.0, 333.0, 321.0, 349.0, 268.0, 322.0, 266.0, 284.0, 279.0, 257.0, 308.0, 254.0]
qinghai;point;red;black;0;[325.0, 299.0]
gansu;point;red;black;0;[335.0, 240.0]
sichuan;polygon;blue;black;0;[461.0, 359.0, 448.0, 364.0, 450.0, 392.0, 437.0, 382.0, 402.0, 386.0, 380.0, 414.0, 355.0, 384.0, 333.0, 333.0, 383.0, 326.0, 416.0, 336.0]
sichuan;point;red;black;0;[388.0, 361.0]
yunnan;polygon;blue;black;0;[409.0, 396.0, 403.0, 434.0, 422.0, 451.0, 382.0, 467.0, 340.0, 433.0, 354.0, 410.0, 343.0, 389.0, 355.0, 384.0, 380.0, 414.0, 402.0, 386.0]
yunnan;point;red;black;0;[374.0, 432.0]
guangxi;polygon;blue;black;0;[462.0, 468.0, 481.0, 432.0, 453.0, 417.0, 403.0, 434.0, 422.0, 451.0]
guangxi;point;red;black;0;[450.0, 442.0]
guizhou;polygon;blue;black;0;[453.0, 417.0, 403.0, 434.0, 409.0, 396.0, 402.0, 386.0, 437.0, 382.0, 450.0, 392.0]
guizhou;point;red;black;0;[429.0, 409.0]
guandong;polygon;blue;black;0;[501.0, 423.0, 515.0, 425.0, 536.0, 445.0, 469.0, 483.0, 462.0, 468.0, 481.0, 432.0]
guandong;point;red;black;0;[491.0, 447.0]
hainan;polygon;blue;black;0;[485.0, 491.0, 465.0, 509.0, 454.0, 499.0, 479.0, 484.0]
hainan;point;red;black;0;[471.0, 497.0]
taiwan;polygon;blue;black;0;[594.0, 412.0, 586.0, 453.0, 574.0, 435.0, 582.0, 414.0]
