anhui;An1hui1
beijing;Bei3jing1
fujian;Fu2jian4
gansu;Gan1su4
guandong;Guan3dong1
guangxi;Guang3xi1
guizhou;Gui4zhou1
hainan;Hai3nan2
hebei;He2bei3
heilongjiang;Hei1long2jiang1
henan;He2nan2
hubei;Hu2bei3
hunan;Hu2nan2
innermongolia;Nei4 Meng3gu3
jiangsu;Jiang1su1
jiangxi;Jiang1xi1
jilin;Ji2lin2
liaoning;Liao2ning2
ningxia;Ning2xia4
qinghai;Qing1hai3
shaanxi;Shan3xi1
shandong;Shan1dong1
shanghai;Shang4hai3
shanxi;Shan1xi1
sichuan;Si4chuan1
taiwan;Tai2wan1
tianjin;Tian1jin1
xinjiang;Xin1jiang1
xizang;Xi1zang4
yunnan;Yun2nan2
zhejiang;Zhe4jiang1
