tags;type;fill;outline;smooth;coords
northamerica;polygon;blue;black;0;[198.0, 277.0, 161.0, 253.0, 149.0, 233.0, 163.0, 197.0, 223.0, 156.0, 202.0, 155.0, 227.0, 146.0, 317.0, 128.0, 399.0, 125.0, 401.0, 131.0, 235.0, 210.0, 252.0, 254.0, 206.0, 248.0, 199.0, 274.0]
northamerica;oval;red;black;0;[216.0, 178.0, 236.0, 198.0]
southamerica;polygon;blue;black;0;[232.0, 256.0, 331.0, 311.0, 320.0, 360.0, 289.0, 412.0, 316.0, 437.0, 308.0, 449.0, 271.0, 434.0, 192.0, 319.0, 203.0, 268.0]
southamerica;oval;red;black;0;[258.0, 331.0, 278.0, 351.0]
antarctica;polygon;blue;black;0;[380.0, 477.0, 476.0, 473.0, 539.0, 461.0, 524.0, 453.0, 397.0, 460.0, 382.0, 468.0, 332.0, 449.0, 329.0, 459.0, 305.0, 467.0]
antarctica;oval;red;black;0;[457.0, 457.0, 477.0, 477.0]
africa;polygon;blue;black;0;[450.0, 194.0, 450.0, 201.0, 474.0, 210.0, 475.0, 206.0, 506.0, 208.0, 551.0, 261.0, 568.0, 262.0, 580.0, 267.0, 551.0, 329.0, 566.0, 331.0, 574.0, 339.0, 558.0, 374.0, 503.0, 397.0, 466.0, 404.0, 462.0, 331.0, 451.0, 290.0, 405.0, 291.0, 374.0, 262.0, 380.0, 224.0, 406.0, 199.0]
africa;oval;red;black;0;[488.0, 273.0, 508.0, 293.0]
europe;polygon;blue;black;0;[440.0, 179.0, 458.0, 191.0, 478.0, 196.0, 486.0, 183.0, 511.0, 183.0, 519.0, 174.0, 469.0, 132.0, 433.0, 133.0, 400.0, 146.0, 401.0, 193.0, 411.0, 196.0]
europe;oval;red;black;0;[439.0, 151.0, 459.0, 171.0]
asia;polygon;blue;black;0;[611.0, 239.0, 646.0, 286.0, 648.0, 238.0, 675.0, 281.0, 696.0, 325.0, 719.0, 330.0, 731.0, 294.0, 712.0, 251.0, 678.0, 210.0, 690.0, 202.0, 654.0, 180.0, 590.0, 153.0, 527.0, 136.0, 477.0, 128.0, 469.0, 132.0, 519.0, 174.0, 511.0, 183.0, 486.0, 183.0, 478.0, 196.0, 511.0, 193.0, 506.0, 208.0, 551.0, 261.0, 585.0, 235.0]
asia;oval;red;black;0;[567.0, 185.0, 587.0, 205.0]
australia;polygon;blue;black;0;[655.0, 420.0, 704.0, 388.0, 733.0, 352.0, 748.0, 319.0, 731.0, 294.0, 719.0, 330.0, 652.0, 397.0]
australia;oval;red;black;0;[686.0, 364.0, 706.0, 384.0]
atlanticocean;polygon;blue;black;0;[462.0, 331.0, 451.0, 290.0, 405.0, 291.0, 374.0, 262.0, 380.0, 224.0, 401.0, 193.0, 400.0, 146.0, 382.0, 141.0, 235.0, 210.0, 252.0, 254.0, 331.0, 311.0, 320.0, 360.0, 289.0, 412.0, 316.0, 437.0, 466.0, 404.0]
atlanticocean;oval;red;black;0;[323.0, 256.0, 343.0, 276.0]
pacificocean;polygon;blue;black;0;[128.0, 188.0, 62.0, 237.0, 47.0, 319.0, 77.0, 369.0, 125.0, 409.0, 184.0, 438.0, 240.0, 453.0, 271.0, 434.0, 192.0, 319.0, 198.0, 277.0, 161.0, 253.0, 149.0, 233.0, 163.0, 197.0, 223.0, 156.0, 202.0, 155.0]
pacificocean;polygon;blue;black;0;[725.0, 231.0, 749.0, 280.0, 748.0, 319.0, 731.0, 294.0, 712.0, 251.0, 678.0, 210.0, 690.0, 202.0]
pacificocean;oval;red;black;0;[81.0, 290.0, 101.0, 310.0]
indianocean;polygon;blue;black;0;[655.0, 420.0, 652.0, 397.0, 696.0, 325.0, 675.0, 281.0, 648.0, 238.0, 646.0, 286.0, 611.0, 239.0, 580.0, 267.0, 551.0, 329.0, 566.0, 331.0, 574.0, 339.0, 558.0, 374.0, 503.0, 397.0]
indianocean;oval;red;black;0;[610.0, 320.0, 630.0, 340.0]
southernocean;polygon;blue;black;0;[305.0, 467.0, 329.0, 459.0, 332.0, 449.0, 382.0, 468.0, 397.0, 460.0, 524.0, 453.0, 539.0, 461.0, 655.0, 420.0, 503.0, 397.0, 466.0, 404.0, 316.0, 437.0, 308.0, 449.0, 271.0, 434.0, 240.0, 453.0]
southernocean;oval;red;black;0;[440.0, 430.0, 460.0, 450.0]
arcticocean;polygon;blue;black;0;[425.0, 121.0, 477.0, 128.0, 469.0, 132.0, 433.0, 133.0, 400.0, 146.0, 382.0, 141.0, 401.0, 131.0, 399.0, 125.0]
arcticocean;oval;red;black;0;[408.0, 116.0, 428.0, 136.0]
