northamerica;Bei3mei3zhou1;北美洲;北美洲;North America
southamerica;Nan2mei3zhou1;南美洲;南美洲;South America
antarctica;Nan2ji2zhou1;南极洲;南極洲;Antarctica
africa;Fei1zhou1;非洲;非洲;Africa
europe;Ou1zhou1;欧洲;歐洲;Europe
asia;Ya4zhou1;亚洲;亞洲;Asia
australia;A4zhou1;澳洲;澳洲;Australia
atlanticocean;Da4xi1yang2;大西洋;大西洋;the Atlantic Ocean
pacificocean;Tai4ping2yang2;太平洋;太平洋;the Pacific Ocean
indianocean;Yin4du4yang2;印度洋;印度洋;the Indian Ocean
southernocean;Nan2bing1yang2;南冰洋;南冰洋;the Southern Ocean
arcticocean;Bei3bing1yang2;北冰洋;北冰洋;the Arctic ocean
