tags;type;fill;outline;smooth;coords
kazakstan;polygon;blue;black;0;[147.0, 96.0, 314.0, 94.0, 252.0, 147.0, 148.0, 137.0]
kazakstan;point;red;black;0;[214.0, 117.0]
mongolia;polygon;blue;black;0;[462.0, 92.0, 484.0, 116.0, 392.0, 153.0, 330.0, 129.0, 314.0, 99.0]
mongolia;point;red;black;0;[389.0, 122.0]
china;polygon;blue;black;0;[314.0, 99.0, 330.0, 129.0, 392.0, 153.0, 484.0, 116.0, 462.0, 92.0, 558.0, 90.0, 548.0, 137.0, 499.0, 158.0, 480.0, 232.0, 446.0, 277.0, 391.0, 282.0, 391.0, 282.0, 352.0, 287.0, 331.0, 231.0, 301.0, 242.0, 286.0, 247.0, 228.0, 218.0, 239.0, 187.0, 213.0, 164.0, 252.0, 147.0]
china;point;red;black;0;[358.0, 195.0]
india;polygon;blue;black;0;[153.0, 249.0, 203.0, 379.0, 276.0, 286.0, 279.0, 262.0, 232.0, 238.0, 241.0, 228.0, 228.0, 218.0, 239.0, 187.0]
india;point;red;black;0;[211.0, 295.0]
nepal;polygon;blue;black;0;[286.0, 247.0, 279.0, 262.0, 232.0, 238.0, 241.0, 228.0]
nepal;point;red;black;0;[253.0, 243.0]
bhutan;polygon;blue;black;0;[301.0, 242.0, 304.0, 257.0, 285.0, 253.0, 286.0, 247.0]
bangladesh;polygon;blue;black;0;[277.0, 291.0, 295.0, 286.0, 305.0, 259.0, 284.0, 255.0]
bangladesh;point;red;black;0;[291.0, 273.0]
burma;polygon;blue;black;0;[352.0, 286.0, 331.0, 301.0, 332.0, 355.0, 297.0, 292.0, 334.0, 242.0]
burma;point;red;black;0;[324.0, 283.0]
thailand;polygon;blue;black;0;[342.0, 294.0, 348.0, 311.0, 362.0, 309.0, 374.0, 337.0, 356.0, 339.0, 352.0, 394.0, 341.0, 394.0, 332.0, 355.0, 331.0, 301.0]
thailand;point;red;black;0;[344.0, 333.0]
laos;polygon;blue;black;0;[387.0, 337.0, 364.0, 287.0, 352.0, 287.0, 342.0, 294.0, 348.0, 311.0, 362.0, 309.0, 374.0, 337.0]
laos;point;red;black;0;[355.0, 300.0]
cambodia;polygon;blue;black;0;[388.0, 349.0, 362.0, 372.0, 356.0, 339.0, 374.0, 337.0, 387.0, 337.0]
cambodia;point;red;black;0;[368.0, 349.0]
vietnam;polygon;blue;black;0;[362.0, 372.0, 388.0, 349.0, 387.0, 337.0, 364.0, 287.0, 391.0, 282.0, 396.0, 289.0, 382.0, 297.0, 404.0, 350.0, 370.0, 378.0, 362.0, 372.0]
vietnam;point;red;black;0;[388.0, 322.0]
northkorea;polygon;blue;black;0;[548.0, 137.0, 525.0, 170.0, 510.0, 177.0, 499.0, 158.0]
northkorea;point;red;black;0;[516.0, 162.0]
southkorea;polygon;blue;black;0;[506.0, 202.0, 530.0, 195.0, 526.0, 172.0, 510.0, 177.0]
southkorea;point;red;black;0;[516.0, 187.0]
japan;polygon;blue;black;0;[623.0, 133.0, 608.0, 183.0, 529.0, 240.0, 517.0, 208.0, 576.0, 178.0, 598.0, 118.0]
japan;point;red;black;0;[585.0, 186.0]
srilanka;polygon;blue;black;0;[233.0, 388.0, 215.0, 399.0, 218.0, 370.0]
srilanka;point;red;black;0;[223.0, 385.0]
maldives;polygon;blue;black;0;[170.0, 399.0, 186.0, 428.0, 172.0, 459.0, 160.0, 404.0]
maldives;point;red;black;0;[170.0, 425.0]
malaysia;polygon;blue;black;0;[339.0, 409.0, 368.0, 432.0, 364.0, 402.0, 352.0, 394.0, 341.0, 394.0]
malaysia;polygon;blue;black;0;[403.0, 431.0, 418.0, 429.0, 457.0, 403.0, 445.0, 388.0, 434.0, 399.0, 434.0, 409.0, 428.0, 406.0, 399.0, 426.0]
malaysia;point;red;black;0;[361.0, 412.0]
brunei;polygon;blue;black;0;[425.0, 397.0, 434.0, 399.0, 434.0, 399.0, 434.0, 409.0, 428.0, 406.0]
brunei;point;red;black;0;[431.0, 405.0]
easttimor;polygon;blue;black;0;[508.0, 489.0, 512.0, 499.0, 495.0, 508.0, 490.0, 498.0]
easttimor;point;red;black;0;[502.0, 499.0]
indonesia;polygon;blue;black;0;[363.0, 434.0, 414.0, 433.0, 445.0, 414.0, 513.0, 420.0, 591.0, 449.0, 596.0, 503.0, 518.0, 487.0, 490.0, 492.0, 486.0, 513.0, 371.0, 487.0, 304.0, 402.0, 327.0, 397.0]
indonesia;point;red;black;0;[398.0, 483.0]
philippines;polygon;blue;black;0;[478.0, 305.0, 510.0, 381.0, 498.0, 401.0, 444.0, 381.0, 466.0, 309.0]
philippines;point;red;black;0;[480.0, 344.0]
bhutan;point;red;black;0;[295.0, 251.0]
singapore;polygon;blue;black;0;[375.0, 423.0, 378.0, 433.0, 370.0, 434.0, 368.0, 426.0]
singapore;point;red;black;0;[371.0, 430.0]
