tags;type;fill;outline;smooth;coords
norway;polygon;blue;black;0;[356.0, 223.0, 381.0, 156.0, 415.0, 121.0, 435.0, 130.0, 451.0, 106.0, 470.0, 111.0, 481.0, 101.0, 478.0, 88.0, 386.0, 109.0, 303.0, 255.0, 317.0, 288.0, 349.0, 275.0]
norway;oval;red;black;0;[326.0, 228.0, 346.0, 248.0]
sweden;polygon;blue;black;0;[361.0, 319.0, 394.0, 302.0, 401.0, 268.0, 391.0, 255.0, 435.0, 181.0, 434.0, 150.0, 415.0, 121.0, 381.0, 156.0, 356.0, 223.0, 349.0, 275.0]
sweden;oval;red;black;0;[383.0, 195.0, 403.0, 215.0]
finland;polygon;blue;black;0;[470.0, 111.0, 485.0, 234.0, 437.0, 265.0, 415.0, 253.0, 418.0, 225.0, 435.0, 181.0, 434.0, 150.0, 415.0, 121.0, 435.0, 130.0, 435.0, 130.0, 451.0, 106.0, 470.0, 111.0]
finland;oval;red;black;0;[440.0, 206.0, 460.0, 226.0]
estonia;polygon;blue;black;0;[432.0, 285.0, 461.0, 291.0, 465.0, 266.0, 432.0, 268.0]
estonia;oval;red;black;0;[438.0, 263.0, 458.0, 283.0]
latvia;polygon;blue;black;0;[461.0, 291.0, 460.0, 311.0, 417.0, 307.0, 432.0, 285.0, 461.0, 291.0]
latvia;oval;red;black;0;[423.0, 288.0, 443.0, 308.0]
lithuania;polygon;blue;black;0;[446.0, 333.0, 426.0, 327.0, 416.0, 319.0, 417.0, 307.0, 460.0, 311.0]
lithuania;oval;red;black;0;[430.0, 309.0, 450.0, 329.0]
poland;polygon;blue;black;0;[446.0, 333.0, 424.0, 384.0, 374.0, 366.0, 369.0, 335.0, 402.0, 330.0, 426.0, 327.0]
poland;oval;red;black;0;[395.0, 344.0, 415.0, 364.0]
germany;polygon;blue;black;0;[356.0, 372.0, 368.0, 389.0, 327.0, 399.0, 316.0, 365.0, 332.0, 328.0, 369.0, 335.0, 374.0, 366.0]
germany;oval;red;black;0;[331.0, 349.0, 351.0, 369.0]
denmark;polygon;blue;black;0;[353.0, 327.0, 350.0, 295.0, 326.0, 295.0, 333.0, 328.0]
denmark;oval;red;black;0;[332.0, 304.0, 352.0, 324.0]
holland;polygon;blue;black;0;[301.0, 357.0, 304.0, 336.0, 332.0, 328.0, 316.0, 365.0]
holland;oval;red;black;0;[302.0, 335.0, 322.0, 355.0]
belgium;polygon;blue;black;0;[288.0, 364.0, 309.0, 380.0, 316.0, 365.0, 301.0, 357.0]
belgium;oval;red;black;0;[290.0, 355.0, 310.0, 375.0]
luxemburg;polygon;blue;black;0;[321.0, 384.0, 316.0, 365.0, 309.0, 380.0]
luxemburg;oval;red;black;0;[306.0, 368.0, 326.0, 388.0]
france;polygon;blue;black;0;[321.0, 390.0, 325.0, 450.0, 245.0, 434.0, 245.0, 391.0, 285.0, 368.0]
france;oval;red;black;0;[262.0, 390.0, 282.0, 410.0]
uk;polygon;blue;black;0;[247.0, 279.0, 288.0, 359.0, 239.0, 369.0, 216.0, 324.0]
uk;oval;red;black;0;[240.0, 325.0, 260.0, 345.0]
ireland;polygon;blue;black;0;[192.0, 330.0, 198.0, 364.0, 230.0, 355.0, 215.0, 326.0]
ireland;oval;red;black;0;[199.0, 332.0, 219.0, 352.0]
iceland;polygon;blue;black;0;[218.0, 136.0, 228.0, 173.0, 187.0, 174.0, 181.0, 142.0]
iceland;oval;red;black;0;[194.0, 144.0, 214.0, 164.0]
spain;polygon;blue;black;0;[296.0, 445.0, 276.0, 500.0, 227.0, 489.0, 233.0, 453.0, 215.0, 449.0, 215.0, 431.0]
spain;oval;red;black;0;[241.0, 459.0, 261.0, 479.0]
portugal;polygon;blue;black;0;[206.0, 486.0, 227.0, 489.0, 233.0, 453.0, 215.0, 449.0]
portugal;oval;red;black;0;[207.0, 460.0, 227.0, 480.0]
switzerland;polygon;blue;black;0;[342.0, 399.0, 346.0, 404.0, 324.0, 418.0, 322.0, 399.0]
switzerland;oval;red;black;0;[320.0, 398.0, 340.0, 418.0]
austria;polygon;blue;black;0;[383.0, 408.0, 391.0, 384.0, 345.0, 400.0]
austria;oval;red;black;0;[361.0, 391.0, 381.0, 411.0]
czech;polygon;blue;black;0;[372.0, 367.0, 393.0, 373.0, 398.0, 381.0, 370.0, 390.0, 360.0, 374.0]
czech;oval;red;black;0;[364.0, 367.0, 384.0, 387.0]
slovakia;polygon;blue;black;0;[424.0, 384.0, 425.0, 391.0, 389.0, 394.0, 400.0, 377.0]
slovakia;oval;red;black;0;[397.0, 376.0, 417.0, 396.0]
italy;polygon;blue;black;0;[361.0, 407.0, 399.0, 462.0, 379.0, 495.0, 334.0, 473.0, 324.0, 421.0]
italy;oval;red;black;0;[361.0, 448.0, 381.0, 468.0]
slovenia;polygon;blue;black;0;[383.0, 408.0, 373.0, 419.0, 364.0, 410.0]
slovenia;oval;red;black;0;[361.0, 402.0, 381.0, 422.0]
hungary;polygon;blue;black;0;[426.0, 391.0, 414.0, 414.0, 384.0, 411.0, 389.0, 396.0]
hungary;oval;red;black;0;[397.0, 392.0, 417.0, 412.0]
croatia;polygon;blue;black;0;[403.0, 422.0, 403.0, 415.0, 386.0, 411.0, 371.0, 418.0, 389.0, 445.0, 384.0, 422.0]
croatia;oval;red;black;0;[368.0, 411.0, 388.0, 431.0]
bosher;polygon;blue;black;0;[403.0, 421.0, 407.0, 433.0, 397.0, 445.0, 387.0, 428.0]
bosher;oval;red;black;0;[385.0, 420.0, 405.0, 440.0]
