norway;Nuo2wei1
sweden;Rui4dian3
finland;Fen1lan2
estonia;Ai4sha1ni2ya4
latvia;La1tuo1wei2ya4
lithuania;Li4tao2wan3
poland;Bo1lan2
germany;De2guo2
denmark;Dan1mai4
holland;Ni2de2lan2
belgium;Bi4li4shi2
luxemburg;Lu2sen1bao3
france;Fa3guo2
uk;Ying1guo2
ireland;Ai4'er3lan2
iceland;Bing1dao3
spain;Xi1ban1ya2
portugal;Pu2tao2ya2
switzerland;Rui4shi4
austria;Ao4di4li4
czech;Jie2ke4gong4he2guo2
slovakia;Si1luo4fa2ke4
italy;Yi4da4li4
slovenia;Si1luo4wen2ni2ya4
hungary;Xiong1ya2li4
croatia;Ke4luo2di4ya4
bosher;Bo1si1ni2ya4
montenegro;Hei1shan1
serbia;Sai1'er3wei2ya4
albania;A1'er3ba1ni2ya4
macedonia;Ma3qi2dun4
greece;Xi1la4
bulgaria;Bao3jia1li4ya4
romania;Luo2ma3ni2ya4
moldova;Mo2'er3duo1wa3
ukraine;Wu1ke4lan2
belarus;Bai2'er2luo2si1
russia;E2guo2
