norway;挪威;Norway
sweden;瑞典;Sweden
finland2;芬蘭;Finland
estonia;愛沙尼亞;Estonia
latvia;拉脫維亞;Latvia
lithuania;立陶宛;Lithuainia
poland;波蘭;Poland
germany;德國;Germany
denmark;丹麥;Denmark
holland;尼德兰;Netherlands
belgium;比利時;Belgium
luxemburg;盧森堡;Luxembourg
france;法國;France
uk;英國;Britain
ireland;愛爾蘭;Ireland
iceland;冰岛;Iceland
spain;西班牙;Spain
portugal;葡萄牙;Portugal
switzerland;瑞士;Switzerland
austria;奧地利;Austria
czech;捷克共和國;Czech Republic
slovakia;斯洛伐克;Slovakia
italy;意大利;Italy
slovenia;斯洛文尼亞;Slovenia
hungary;匈牙利;Hungary
croatia;克羅地亞;Croatia
bosher;波斯尼亞;Bosnia
montenegro;黑山;Montenegro
serbia;塞爾維亞;Serbia
albania;阿爾巴尼亞;Albania
macedonia;馬其頓;Macedonia
greece;希臘;Greece
bulgaria;保加利亞;Bulgaria
romania;羅馬尼亞;Romania
moldova;摩爾多瓦;Moldova
ukraine;烏克蘭;Ukraine
belarus;白俄羅斯;Belarus
russia;俄國;Russia
