rockymountains;Luo4ji1shan1mo4;洛矶山脉;洛磯山脈;Rocky Mountains
greatbasin;Da4pen2di4;大盆地;大盆地;Great Basin
appalachians;A1ba1la1qi4a4;阿巴拉契亚;阿巴拉契亞;the Appalachians
mississippi;Mi4xi1xibi3;密西西比;密西西比;Mississippi
andes;An1di4si1shan1;安第斯山;安第斯山;the Andes
amazon;Ya4ma3sun1;亚马孙;亞馬孫;Amazon
parana;Ba1la1na4;巴拉那;巴拉那;Parana
congo;Gang1guo3;刚果;剛果;Congo
niger;Ni2ri4'er3;尼日尔;尼日爾;Niger
atlas;A1te4la1si1;阿特拉斯;阿特拉斯;Atlas
sahara;Sa1ha1la1;撒哈拉;撒哈拉;Sahara
nile;Ni2luo2he2;尼罗河;尼羅河;Nile
alps;A1'er3bei1si1;阿尔卑斯;阿爾卑斯;Alps
danube;Duo1nao3he2;多瑙河;多瑙河;Danube
volga;Fu2'er3jia1he2;伏尔加河;伏爾加河;Volga
urals;Wu1la1er3;乌拉尔;烏拉爾;Urals
ob;E4bi4he2;鄂畢河;鄂畢河;Ob
arabia;A1la1bo2;阿拉伯;阿拉伯;Arabian
indus;Yin4du4;印度;印度;Indus
taklamakan;Ta3ke4la1ma3gan1;塔克拉玛干;塔剋拉瑪乾;Taklamakan
himalayas;Xi3ma3la1ya1;喜马拉雅;喜馬拉雅;Himalayas
ganges;Heng2he2;恆河;恒河;Ganges
kalahari;Ke4la1ha1li3;喀拉哈里;喀拉哈裡;Kalahari
greatvictorian;Da4wei2duo1li4ya4;大维多利亚;大維多利亞;Great Victorian desert
