tags;type;fill;outline;smooth;coords
turkey;polygon;blue;black;0;[306.0, 130.0, 299.0, 196.0, 116.0, 213.0, 122.0, 154.0]
turkey;oval;red;black;0;[200.0, 162.0, 220.0, 182.0]
syria;polygon;blue;black;0;[271.0, 198.0, 249.0, 230.0, 187.0, 259.0, 180.0, 255.0, 199.0, 230.0, 193.0, 227.0, 203.0, 206.0]
syria;oval;red;black;0;[229.0, 207.0, 249.0, 227.0]
lebanon;polygon;blue;black;0;[173.0, 249.0, 180.0, 255.0, 199.0, 230.0, 193.0, 227.0]
lebanon;oval;red;black;0;[178.0, 229.0, 198.0, 249.0]
israel;polygon;blue;black;0;[180.0, 255.0, 160.0, 295.0, 156.0, 273.0, 173.0, 250.0]
israel;oval;red;black;0;[155.0, 262.0, 175.0, 282.0]
jordan;polygon;blue;black;0;[169.0, 301.0, 217.0, 264.0, 217.0, 247.0, 187.0, 259.0, 180.0, 255.0, 160.0, 295.0]
jordan;oval;red;black;0;[177.0, 260.0, 197.0, 280.0]
saudiarabia;polygon;blue;black;0;[153.0, 308.0, 211.0, 460.0, 349.0, 416.0, 365.0, 387.0, 329.0, 377.0, 301.0, 307.0, 285.0, 300.0, 217.0, 264.0, 169.0, 301.0, 160.0, 295.0]
saudiarabia;oval;red;black;0;[242.0, 357.0, 262.0, 377.0]
yemen;polygon;blue;black;0;[318.0, 427.0, 329.0, 464.0, 215.0, 507.0, 211.0, 460.0]
yemen;oval;red;black;0;[256.0, 455.0, 276.0, 475.0]
oman;polygon;blue;black;0;[414.0, 388.0, 376.0, 355.0, 349.0, 416.0, 318.0, 427.0, 329.0, 464.0]
oman;oval;red;black;0;[369.0, 392.0, 389.0, 412.0]
uae;polygon;blue;black;0;[323.0, 364.0, 363.0, 385.0, 380.0, 337.0]
uae;oval;red;black;0;[345.0, 356.0, 365.0, 376.0]
qatar;polygon;blue;black;0;[325.0, 330.0, 334.0, 344.0, 321.0, 359.0, 318.0, 345.0]
qatar;oval;red;black;0;[315.0, 334.0, 335.0, 354.0]
kuwait;polygon;blue;black;0;[295.0, 281.0, 307.0, 283.0, 302.0, 307.0, 285.0, 299.0]
kuwait;oval;red;black;0;[288.0, 286.0, 308.0, 306.0]
iraq;polygon;blue;black;0;[303.0, 269.0, 285.0, 299.0, 217.0, 264.0, 217.0, 247.0, 249.0, 230.0, 271.0, 198.0, 299.0, 196.0]
iraq;oval;red;black;0;[253.0, 246.0, 273.0, 266.0]
iran;polygon;blue;black;0;[393.0, 189.0, 465.0, 214.0, 445.0, 285.0, 444.0, 352.0, 364.0, 331.0, 302.0, 282.0, 306.0, 160.0]
iran;oval;red;black;0;[367.0, 246.0, 387.0, 266.0]
pakistan;polygon;blue;black;0;[508.0, 280.0, 581.0, 203.0, 637.0, 216.0, 524.0, 360.0, 444.0, 352.0, 445.0, 285.0]
pakistan;oval;red;black;0;[518.0, 300.0, 538.0, 320.0]
afghanistan;polygon;blue;black;0;[539.0, 196.0, 574.0, 184.0, 581.0, 203.0, 508.0, 280.0, 445.0, 285.0, 465.0, 214.0]
afghanistan;oval;red;black;0;[493.0, 238.0, 513.0, 258.0]
turkmenistan;polygon;blue;black;0;[462.0, 213.0, 536.0, 196.0, 481.0, 137.0, 411.0, 126.0, 397.0, 187.0]
turkmenistan;oval;red;black;0;[443.0, 162.0, 463.0, 182.0]
uzbekistan;polygon;blue;black;0;[479.0, 133.0, 535.0, 192.0, 567.0, 143.0, 540.0, 115.0, 459.0, 85.0, 442.0, 128.0]
uzbekistan;oval;red;black;0;[505.0, 118.0, 525.0, 138.0]
tajikistan;polygon;blue;black;0;[574.0, 184.0, 581.0, 203.0, 616.0, 205.0, 617.0, 164.0, 557.0, 161.0, 535.0, 192.0]
tajikistan;oval;red;black;0;[575.0, 171.0, 595.0, 191.0]
kyrgyzstan;polygon;blue;black;0;[686.0, 116.0, 689.0, 141.0, 616.0, 162.0, 566.0, 162.0, 573.0, 130.0]
kyrgyzstan;oval;red;black;0;[607.0, 133.0, 627.0, 153.0]
