tags;type;fill;outline;smooth;coords
turkey;polygon;blue;black;0;[306.0, 130.0, 299.0, 196.0, 116.0, 213.0, 122.0, 154.0]
turkey;point;red;black;0;[210.0, 172.0]
syria;polygon;blue;black;0;[271.0, 198.0, 249.0, 230.0, 187.0, 259.0, 180.0, 255.0, 199.0, 230.0, 193.0, 227.0, 203.0, 206.0]
syria;point;red;black;0;[239.0, 217.0]
lebanon;polygon;blue;black;0;[173.0, 249.0, 180.0, 255.0, 199.0, 230.0, 193.0, 227.0]
lebanon;point;red;black;0;[188.0, 239.0]
israel;polygon;blue;black;0;[180.0, 255.0, 160.0, 295.0, 156.0, 273.0, 173.0, 250.0]
israel;point;red;black;0;[165.0, 272.0]
jordan;polygon;blue;black;0;[169.0, 301.0, 217.0, 264.0, 217.0, 247.0, 187.0, 259.0, 180.0, 255.0, 160.0, 295.0]
jordan;point;red;black;0;[187.0, 270.0]
saudiarabia;polygon;blue;black;0;[153.0, 308.0, 211.0, 460.0, 349.0, 416.0, 365.0, 387.0, 329.0, 377.0, 301.0, 307.0, 285.0, 300.0, 217.0, 264.0, 169.0, 301.0, 160.0, 295.0]
saudiarabia;point;red;black;0;[252.0, 367.0]
yemen;polygon;blue;black;0;[318.0, 427.0, 329.0, 464.0, 215.0, 507.0, 211.0, 460.0]
yemen;point;red;black;0;[266.0, 465.0]
oman;polygon;blue;black;0;[414.0, 388.0, 376.0, 355.0, 349.0, 416.0, 318.0, 427.0, 329.0, 464.0]
oman;point;red;black;0;[379.0, 402.0]
uae;polygon;blue;black;0;[323.0, 364.0, 363.0, 385.0, 380.0, 337.0]
uae;point;red;black;0;[355.0, 366.0]
qatar;polygon;blue;black;0;[325.0, 330.0, 334.0, 344.0, 321.0, 359.0, 318.0, 345.0]
qatar;point;red;black;0;[325.0, 344.0]
kuwait;polygon;blue;black;0;[295.0, 281.0, 307.0, 283.0, 302.0, 307.0, 285.0, 299.0]
kuwait;point;red;black;0;[298.0, 296.0]
iraq;polygon;blue;black;0;[303.0, 269.0, 285.0, 299.0, 217.0, 264.0, 217.0, 247.0, 249.0, 230.0, 271.0, 198.0, 299.0, 196.0]
iraq;point;red;black;0;[263.0, 256.0]
iran;polygon;blue;black;0;[393.0, 189.0, 465.0, 214.0, 445.0, 285.0, 444.0, 352.0, 364.0, 331.0, 302.0, 282.0, 306.0, 160.0]
iran;point;red;black;0;[377.0, 256.0]
pakistan;polygon;blue;black;0;[508.0, 280.0, 581.0, 203.0, 637.0, 216.0, 524.0, 360.0, 444.0, 352.0, 445.0, 285.0]
pakistan;point;red;black;0;[528.0, 310.0]
afghanistan;polygon;blue;black;0;[539.0, 196.0, 574.0, 184.0, 581.0, 203.0, 508.0, 280.0, 445.0, 285.0, 465.0, 214.0]
afghanistan;point;red;black;0;[503.0, 248.0]
turkmenistan;polygon;blue;black;0;[462.0, 213.0, 536.0, 196.0, 481.0, 137.0, 411.0, 126.0, 397.0, 187.0]
turkmenistan;point;red;black;0;[453.0, 172.0]
uzbekistan;polygon;blue;black;0;[479.0, 133.0, 535.0, 192.0, 567.0, 143.0, 540.0, 115.0, 459.0, 85.0, 442.0, 128.0]
uzbekistan;point;red;black;0;[515.0, 128.0]
tajikistan;polygon;blue;black;0;[574.0, 184.0, 581.0, 203.0, 616.0, 205.0, 617.0, 164.0, 557.0, 161.0, 535.0, 192.0]
tajikistan;point;red;black;0;[585.0, 181.0]
kyrgyzstan;polygon;blue;black;0;[686.0, 116.0, 689.0, 141.0, 616.0, 162.0, 566.0, 162.0, 573.0, 130.0]
kyrgyzstan;point;red;black;0;[617.0, 143.0]
