tags;type;fill;outline;smooth;coords
canada;polygon;blue;black;0;[636.0, 86.0, 635.0, 124.0, 575.0, 155.0, 537.0, 138.0, 458.0, 172.0, 448.0, 141.0, 390.0, 117.0, 181.0, 117.0, 165.0, 89.0]
canada;oval;red;black;0;[486.0, 105.0, 506.0, 125.0]
usa;polygon;blue;black;0;[167.0, 187.0, 205.0, 262.0, 283.0, 268.0, 346.0, 319.0, 443.0, 286.0, 469.0, 334.0, 481.0, 329.0, 469.0, 280.0, 506.0, 203.0, 575.0, 155.0, 537.0, 138.0, 458.0, 172.0, 448.0, 141.0, 390.0, 117.0, 181.0, 117.0]
usa;oval;red;black;0;[318.0, 205.0, 338.0, 225.0]
mexico;polygon;blue;black;0;[248.0, 344.0, 293.0, 392.0, 387.0, 434.0, 394.0, 406.0, 420.0, 400.0, 429.0, 374.0, 424.0, 363.0, 368.0, 395.0, 346.0, 319.0, 283.0, 268.0, 205.0, 262.0]
mexico;oval;red;black;0;[292.0, 321.0, 312.0, 341.0]
guatemala;polygon;blue;black;0;[403.0, 446.0, 418.0, 425.0, 407.0, 421.0, 412.0, 404.0, 394.0, 406.0, 387.0, 434.0]
guatemala;oval;red;black;0;[387.0, 420.0, 407.0, 440.0]
belize;polygon;blue;black;0;[426.0, 403.0, 418.0, 425.0, 407.0, 421.0, 412.0, 404.0, 420.0, 400.0]
belize;oval;red;black;0;[409.0, 398.0, 429.0, 418.0]
honduras;polygon;blue;black;0;[466.0, 426.0, 429.0, 448.0, 411.0, 437.0, 418.0, 425.0]
honduras;oval;red;black;0;[425.0, 421.0, 445.0, 441.0]
elsalvador;polygon;blue;black;0;[418.0, 455.0, 429.0, 448.0, 411.0, 437.0, 403.0, 446.0]
elsalvador;oval;red;black;0;[404.0, 437.0, 424.0, 457.0]
nicaragua;polygon;blue;black;0;[457.0, 470.0, 438.0, 469.0, 424.0, 457.0, 466.0, 426.0]
nicaragua;oval;red;black;0;[433.0, 443.0, 453.0, 463.0]
costarica;polygon;blue;black;0;[461.0, 502.0, 466.0, 486.0, 457.0, 470.0, 438.0, 469.0]
costarica;oval;red;black;0;[443.0, 471.0, 463.0, 491.0]
panama;polygon;blue;black;0;[507.0, 478.0, 503.0, 509.0, 461.0, 502.0, 466.0, 486.0]
panama;oval;red;black;0;[479.0, 482.0, 499.0, 502.0]
cuba;polygon;blue;black;0;[471.0, 348.0, 530.0, 373.0, 522.0, 389.0, 443.0, 364.0, 449.0, 349.0]
cuba;oval;red;black;0;[459.0, 351.0, 479.0, 371.0]
jamaica;polygon;blue;black;0;[514.0, 399.0, 511.0, 409.0, 494.0, 404.0, 494.0, 391.0]
jamaica;oval;red;black;0;[495.0, 390.0, 515.0, 410.0]
haiti;polygon;blue;black;0;[534.0, 378.0, 523.0, 400.0, 546.0, 406.0, 547.0, 379.0]
haiti;oval;red;black;0;[522.0, 386.0, 542.0, 406.0]
dominicanrepublic;polygon;blue;black;0;[571.0, 386.0, 574.0, 401.0, 546.0, 406.0, 547.0, 379.0]
dominicanrepublic;oval;red;black;0;[548.0, 383.0, 568.0, 403.0]
puertorico;polygon;blue;black;0;[602.0, 392.0, 599.0, 407.0, 581.0, 406.0, 579.0, 392.0]
puertorico;oval;red;black;0;[579.0, 389.0, 599.0, 409.0]
bahamas;polygon;blue;black;0;[501.0, 314.0, 551.0, 364.0, 533.0, 374.0, 494.0, 348.0, 486.0, 315.0]
bahamas;oval;red;black;0;[504.0, 334.0, 524.0, 354.0]
