tags;type;fill;outline;smooth;coords
canada;polygon;blue;black;0;[636.0, 86.0, 635.0, 124.0, 575.0, 155.0, 537.0, 138.0, 458.0, 172.0, 448.0, 141.0, 390.0, 117.0, 181.0, 117.0, 165.0, 89.0]
canada;point;red;black;0;[496.0, 115.0]
usa;polygon;blue;black;0;[167.0, 187.0, 205.0, 262.0, 283.0, 268.0, 346.0, 319.0, 443.0, 286.0, 469.0, 334.0, 481.0, 329.0, 469.0, 280.0, 506.0, 203.0, 575.0, 155.0, 537.0, 138.0, 458.0, 172.0, 448.0, 141.0, 390.0, 117.0, 181.0, 117.0]
usa;point;red;black;0;[328.0, 215.0]
mexico;polygon;blue;black;0;[248.0, 344.0, 293.0, 392.0, 387.0, 434.0, 394.0, 406.0, 420.0, 400.0, 429.0, 374.0, 424.0, 363.0, 368.0, 395.0, 346.0, 319.0, 283.0, 268.0, 205.0, 262.0]
mexico;point;red;black;0;[302.0, 331.0]
guatemala;polygon;blue;black;0;[403.0, 446.0, 418.0, 425.0, 407.0, 421.0, 412.0, 404.0, 394.0, 406.0, 387.0, 434.0]
guatemala;point;red;black;0;[397.0, 430.0]
belize;polygon;blue;black;0;[426.0, 403.0, 418.0, 425.0, 407.0, 421.0, 412.0, 404.0, 420.0, 400.0]
belize;point;red;black;0;[419.0, 408.0]
honduras;polygon;blue;black;0;[466.0, 426.0, 429.0, 448.0, 411.0, 437.0, 418.0, 425.0]
honduras;point;red;black;0;[435.0, 431.0]
elsalvador;polygon;blue;black;0;[418.0, 455.0, 429.0, 448.0, 411.0, 437.0, 403.0, 446.0]
elsalvador;point;red;black;0;[414.0, 447.0]
nicaragua;polygon;blue;black;0;[457.0, 470.0, 438.0, 469.0, 424.0, 457.0, 466.0, 426.0]
nicaragua;point;red;black;0;[443.0, 453.0]
costarica;polygon;blue;black;0;[461.0, 502.0, 466.0, 486.0, 457.0, 470.0, 438.0, 469.0]
costarica;point;red;black;0;[453.0, 481.0]
panama;polygon;blue;black;0;[507.0, 478.0, 503.0, 509.0, 461.0, 502.0, 466.0, 486.0]
panama;point;red;black;0;[489.0, 492.0]
cuba;polygon;blue;black;0;[471.0, 348.0, 530.0, 373.0, 522.0, 389.0, 443.0, 364.0, 449.0, 349.0]
cuba;point;red;black;0;[469.0, 361.0]
jamaica;polygon;blue;black;0;[514.0, 399.0, 511.0, 409.0, 494.0, 404.0, 494.0, 391.0]
jamaica;point;red;black;0;[505.0, 400.0]
haiti;polygon;blue;black;0;[534.0, 378.0, 523.0, 400.0, 546.0, 406.0, 547.0, 379.0]
haiti;point;red;black;0;[532.0, 396.0]
dominicanrepublic;polygon;blue;black;0;[571.0, 386.0, 574.0, 401.0, 546.0, 406.0, 547.0, 379.0]
dominicanrepublic;point;red;black;0;[558.0, 393.0]
puertorico;polygon;blue;black;0;[602.0, 392.0, 599.0, 407.0, 581.0, 406.0, 579.0, 392.0]
puertorico;point;red;black;0;[589.0, 399.0]
bahamas;polygon;blue;black;0;[501.0, 314.0, 551.0, 364.0, 533.0, 374.0, 494.0, 348.0, 486.0, 315.0]
bahamas;point;red;black;0;[514.0, 344.0]
