canada;Jia1na2da4;加拿大;加拿大;Canada
usa;Mei3guo2;美国;美國;United States
mexico;Mo4xi1ge1;墨西哥;墨西哥;Mexico
guatemala;Gua1di4ma3la1;瓜地马拉;瓜地馬拉;Guatemala
belize;Bo2li4zi1;伯利兹;伯利茲;Belize
honduras;Hong2du1la1si1;洪都拉斯;洪都拉斯;Honduras
elsalvador;Sa4'Er3wa3duo1;萨尔瓦多;薩爾瓦多;El Salvador
nicaragua;Ni2jia1la1gua1;尼加拉瓜;尼加拉瓜;Nicaragua
costarica;Ge1si1da2li2jia1;哥斯达黎加;哥斯達黎加;Costa Rica
panama;Ba1na2ma3;巴拿马;巴拿馬;Panama
cuba;Gu3ba1;古巴;古巴;Cuba
jamaica;Ya2mai3jia1;牙买加;牙買加;Jamaica
haiti;Hai3di4;海地;海地;Haiti
dominicanrepublic;Duo1ming2ni2jia1;多明尼加;多明尼加;Dominican Republic
puertorico;Bo1dio1li2ge4;波多黎各;波多黎各;Puerto Rico
bahamas;Ba1ha1ma3;巴哈马;巴哈馬;the Bahamas
