tags;type;fill;outline;smooth;coords
colombia;polygon;blue;black;0;[358.0, 172.0, 371.0, 144.0, 372.0, 124.0, 345.0, 114.0, 358.0, 89.0, 327.0, 99.0, 311.0, 145.0]
colombia;oval;red;black;0;[331.0, 128.0, 351.0, 148.0]
venezuela;polygon;blue;black;0;[408.0, 102.0, 413.0, 126.0, 393.0, 149.0, 371.0, 144.0, 372.0, 124.0, 345.0, 114.0, 358.0, 89.0]
venezuela;oval;red;black;0;[368.0, 102.0, 388.0, 122.0]
guyana;polygon;blue;black;0;[413.0, 126.0, 410.0, 147.0, 429.0, 144.0, 429.0, 124.0, 408.0, 102.0]
guyana;oval;red;black;0;[407.0, 109.0, 427.0, 129.0]
surinam;polygon;blue;black;0;[429.0, 144.0, 442.0, 146.0, 447.0, 124.0, 429.0, 124.0]
surinam;oval;red;black;0;[425.0, 125.0, 445.0, 145.0]
frenchguyana;polygon;blue;black;0;[463.0, 128.0, 451.0, 148.0, 442.0, 146.0, 447.0, 124.0]
frenchguyana;oval;red;black;0;[440.0, 126.0, 460.0, 146.0]
brazil;polygon;blue;black;0;[559.0, 190.0, 455.0, 341.0, 430.0, 320.0, 447.0, 298.0, 424.0, 261.0, 403.0, 213.0, 351.0, 208.0, 369.0, 151.0, 451.0, 148.0, 463.0, 128.0]
brazil;oval;red;black;0;[451.0, 188.0, 471.0, 208.0]
ecuador;polygon;blue;black;0;[334.0, 159.0, 314.0, 182.0, 298.0, 173.0, 311.0, 147.0]
ecuador;oval;red;black;0;[305.0, 151.0, 325.0, 171.0]
peru;polygon;blue;black;0;[355.0, 172.0, 350.0, 197.0, 363.0, 249.0, 352.0, 256.0, 307.0, 191.0, 335.0, 162.0]
peru;oval;red;black;0;[323.0, 188.0, 343.0, 208.0]
bolivia;polygon;blue;black;0;[376.0, 210.0, 409.0, 230.0, 417.0, 250.0, 402.0, 274.0, 373.0, 279.0, 365.0, 214.0]
bolivia;oval;red;black;0;[376.0, 234.0, 396.0, 254.0]
paraguay;polygon;blue;black;0;[445.0, 297.0, 429.0, 308.0, 402.0, 280.0, 416.0, 257.0]
paraguay;oval;red;black;0;[416.0, 275.0, 436.0, 295.0]
uruguay;polygon;blue;black;0;[418.0, 345.0, 433.0, 357.0, 455.0, 341.0, 430.0, 320.0]
uruguay;oval;red;black;0;[423.0, 329.0, 443.0, 349.0]
uruguay;polygon;blue;black;0;[354.0, 365.0, 354.0, 422.0, 344.0, 471.0, 360.0, 478.0, 433.0, 357.0, 418.0, 345.0, 430.0, 320.0, 402.0, 280.0, 373.0, 279.0]
uruguay;oval;red;black;0;[376.0, 362.0, 396.0, 382.0]
chile;polygon;blue;black;0;[367.0, 482.0, 365.0, 505.0, 347.0, 494.0, 335.0, 468.0, 340.0, 381.0, 349.0, 346.0, 352.0, 256.0, 363.0, 249.0, 373.0, 279.0, 354.0, 365.0, 354.0, 422.0, 344.0, 471.0, 360.0, 478.0]
chile;oval;red;black;0;[334.0, 385.0, 354.0, 405.0]
