tags;type;fill;outline;smooth;coords
colombia;polygon;blue;black;0;[358.0, 172.0, 371.0, 144.0, 372.0, 124.0, 345.0, 114.0, 358.0, 89.0, 327.0, 99.0, 311.0, 145.0]
colombia;point;red;black;0;[341.0, 138.0]
venezuela;polygon;blue;black;0;[408.0, 102.0, 413.0, 126.0, 393.0, 149.0, 371.0, 144.0, 372.0, 124.0, 345.0, 114.0, 358.0, 89.0]
venezuela;point;red;black;0;[378.0, 112.0]
guyana;polygon;blue;black;0;[413.0, 126.0, 410.0, 147.0, 429.0, 144.0, 429.0, 124.0, 408.0, 102.0]
guyana;point;red;black;0;[417.0, 119.0]
surinam;polygon;blue;black;0;[429.0, 144.0, 442.0, 146.0, 447.0, 124.0, 429.0, 124.0]
surinam;point;red;black;0;[435.0, 135.0]
frenchguyana;polygon;blue;black;0;[463.0, 128.0, 451.0, 148.0, 442.0, 146.0, 447.0, 124.0]
frenchguyana;point;red;black;0;[450.0, 136.0]
brazil;polygon;blue;black;0;[559.0, 190.0, 455.0, 341.0, 430.0, 320.0, 447.0, 298.0, 424.0, 261.0, 403.0, 213.0, 351.0, 208.0, 369.0, 151.0, 451.0, 148.0, 463.0, 128.0]
brazil;point;red;black;0;[461.0, 198.0]
ecuador;polygon;blue;black;0;[334.0, 159.0, 314.0, 182.0, 298.0, 173.0, 311.0, 147.0]
ecuador;point;red;black;0;[315.0, 161.0]
peru;polygon;blue;black;0;[355.0, 172.0, 350.0, 197.0, 363.0, 249.0, 352.0, 256.0, 307.0, 191.0, 335.0, 162.0]
peru;point;red;black;0;[333.0, 198.0]
bolivia;polygon;blue;black;0;[376.0, 210.0, 409.0, 230.0, 417.0, 250.0, 402.0, 274.0, 373.0, 279.0, 365.0, 214.0]
bolivia;point;red;black;0;[386.0, 244.0]
paraguay;polygon;blue;black;0;[445.0, 297.0, 429.0, 308.0, 402.0, 280.0, 416.0, 257.0]
paraguay;point;red;black;0;[426.0, 285.0]
uruguay;polygon;blue;black;0;[418.0, 345.0, 433.0, 357.0, 455.0, 341.0, 430.0, 320.0]
uruguay;point;red;black;0;[433.0, 339.0]
argentina;polygon;blue;black;0;[354.0, 365.0, 354.0, 422.0, 344.0, 471.0, 360.0, 478.0, 433.0, 357.0, 418.0, 345.0, 430.0, 320.0, 402.0, 280.0, 373.0, 279.0]
argentina;point;red;black;0;[386.0, 372.0]
chile;polygon;blue;black;0;[367.0, 482.0, 365.0, 505.0, 347.0, 494.0, 335.0, 468.0, 340.0, 381.0, 349.0, 346.0, 352.0, 256.0, 363.0, 249.0, 373.0, 279.0, 354.0, 365.0, 354.0, 422.0, 344.0, 471.0, 360.0, 478.0]
chile;point;red;black;0;[344.0, 395.0]
