tags;type;fill;outline;smooth;coords
washington;polygon;blue;black;0;[203.0, 86.0, 282.0, 103.0, 270.0, 154.0, 201.0, 134.0]
washington;point;red;black;0;[237.0, 120.0]
oregon;polygon;blue;black;0;[174.0, 197.0, 257.0, 219.0, 270.0, 154.0, 201.0, 134.0]
oregon;point;red;black;0;[223.0, 174.0]
idaho;polygon;blue;black;0;[291.0, 107.0, 294.0, 148.0, 304.0, 188.0, 325.0, 188.0, 321.0, 234.0, 257.0, 219.0, 270.0, 154.0, 282.0, 103.0]
idaho;point;red;black;0;[280.0, 198.0]
montana;polygon;blue;black;0;[291.0, 107.0, 294.0, 148.0, 304.0, 188.0, 325.0, 188.0, 327.0, 183.0, 399.0, 192.0, 406.0, 127.0, 291.0, 107.0]
montana;point;red;black;0;[344.0, 155.0]
wyoming;polygon;blue;black;0;[395.0, 258.0, 319.0, 245.0, 329.0, 184.0, 399.0, 192.0]
wyoming;point;red;black;0;[361.0, 222.0]
california;polygon;blue;black;0;[170.0, 196.0, 149.0, 251.0, 202.0, 368.0, 250.0, 377.0, 262.0, 340.0, 213.0, 258.0, 225.0, 213.0]
california;point;red;black;0;[204.0, 292.0]
nevada;polygon;blue;black;0;[287.0, 228.0, 262.0, 340.0, 213.0, 258.0, 225.0, 213.0]
nevada;point;red;black;0;[246.0, 265.0]
utah;polygon;blue;black;0;[286.0, 238.0, 340.0, 249.0, 331.0, 316.0, 272.0, 305.0]
utah;point;red;black;0;[303.0, 276.0]
arizona;polygon;blue;black;0;[329.0, 317.0, 315.0, 411.0, 251.0, 381.0, 271.0, 309.0]
arizona;point;red;black;0;[286.0, 350.0]
newmexico;polygon;blue;black;0;[332.0, 317.0, 400.0, 325.0, 396.0, 400.0, 317.0, 409.0]
newmexico;point;red;black;0;[357.0, 366.0]
texas;polygon;blue;black;0;[396.0, 402.0, 402.0, 333.0, 435.0, 335.0, 433.0, 369.0, 504.0, 382.0, 513.0, 438.0, 456.0, 517.0, 412.0, 442.0, 382.0, 457.0, 348.0, 407.0]
texas;point;red;black;0;[443.0, 409.0]
oklahoma;polygon;blue;black;0;[498.0, 325.0, 504.0, 382.0, 433.0, 369.0, 435.0, 335.0, 404.0, 332.0, 404.0, 325.0]
oklahoma;point;red;black;0;[463.0, 349.0]
colorado;polygon;blue;black;0;[415.0, 260.0, 413.0, 324.0, 333.0, 314.0, 342.0, 251.0]
colorado;point;red;black;0;[374.0, 288.0]
kansas;polygon;blue;black;0;[493.0, 278.0, 501.0, 325.0, 414.0, 323.0, 417.0, 277.0]
kansas;point;red;black;0;[453.0, 302.0]
nebraska;polygon;blue;black;0;[397.0, 254.0, 416.0, 255.0, 421.0, 273.0, 490.0, 275.0, 476.0, 233.0, 400.0, 226.0]
nebraska;point;red;black;0;[444.0, 253.0]
southdakota;polygon;blue;black;0;[477.0, 179.0, 478.0, 231.0, 400.0, 223.0, 403.0, 178.0]
southdakota;point;red;black;0;[435.0, 203.0]
northdakota;polygon;blue;black;0;[470.0, 128.0, 477.0, 179.0, 403.0, 178.0, 406.0, 127.0]
northdakota;point;red;black;0;[436.0, 156.0]
monnesota;polygon;blue;black;0;[541.0, 138.0, 516.0, 183.0, 531.0, 216.0, 480.0, 220.0, 477.0, 179.0, 470.0, 128.0]
monnesota;point;red;black;0;[496.0, 160.0]
iowa;polygon;blue;black;0;[532.0, 215.0, 544.0, 241.0, 537.0, 266.0, 489.0, 268.0, 481.0, 224.0]
iowa;point;red;black;0;[512.0, 244.0]
missouri;polygon;blue;black;0;[528.0, 268.0, 561.0, 321.0, 559.0, 335.0, 502.0, 335.0, 495.0, 272.0]
missouri;point;red;black;0;[522.0, 301.0]
arkansas;polygon;blue;black;0;[506.0, 391.0, 542.0, 389.0, 559.0, 335.0, 502.0, 335.0]
arkansas;point;red;black;0;[523.0, 360.0]
louisiana;polygon;blue;black;0;[544.0, 421.0, 561.0, 423.0, 574.0, 454.0, 513.0, 438.0, 506.0, 391.0, 542.0, 389.0]
louisiana;point;red;black;0;[526.0, 415.0]
mississippi;polygon;blue;black;0;[577.0, 356.0, 553.0, 356.0, 544.0, 409.0, 581.0, 434.0]
mississippi;point;red;black;0;[559.0, 393.0]
alabama;polygon;blue;black;0;[608.0, 351.0, 621.0, 410.0, 581.0, 434.0, 577.0, 356.0]
alabama;point;red;black;0;[606.0, 386.0]
georgia;polygon;blue;black;0;[635.0, 348.0, 670.0, 392.0, 669.0, 418.0, 627.0, 420.0, 608.0, 351.0]
georgia;point;red;black;0;[635.0, 389.0]
florida;polygon;blue;black;0;[643.0, 439.0, 678.0, 507.0, 708.0, 497.0, 669.0, 418.0, 627.0, 420.0, 581.0, 434.0]
florida;point;red;black;0;[673.0, 457.0]
southcarolina;polygon;blue;black;0;[707.0, 351.0, 670.0, 392.0, 635.0, 348.0]
southcarolina;point;red;black;0;[670.0, 370.0]
northcarolina;polygon;blue;black;0;[708.0, 348.0, 730.0, 310.0, 654.0, 319.0, 625.0, 346.0]
northcarolina;point;red;black;0;[675.0, 330.0]
tennessee;polygon;blue;black;0;[641.0, 321.0, 621.0, 349.0, 556.0, 354.0, 562.0, 332.0]
tennessee;point;red;black;0;[596.0, 338.0]
kentucky;polygon;blue;black;0;[564.0, 330.0, 633.0, 321.0, 644.0, 309.0, 638.0, 295.0, 616.0, 286.0, 566.0, 321.0]
kentucky;point;red;black;0;[613.0, 307.0]
westvirginia;polygon;blue;black;0;[650.0, 268.0, 685.0, 263.0, 664.0, 301.0, 644.0, 309.0, 638.0, 295.0]
westvirginia;point;red;black;0;[655.0, 284.0]
virginia;polygon;blue;black;0;[688.0, 263.0, 685.0, 263.0, 664.0, 301.0, 644.0, 309.0, 638.0, 319.0, 730.0, 310.0]
virginia;point;red;black;0;[681.0, 301.0]
maryland;polygon;blue;black;0;[727.0, 305.0, 707.0, 258.0, 688.0, 263.0]
maryland;point;red;black;0;[699.0, 270.0]
delaware;polygon;blue;black;0;[740.0, 273.0, 718.0, 281.0, 707.0, 258.0]
newsjersey;polygon;blue;black;0;[723.0, 232.0, 725.0, 265.0, 710.0, 257.0, 712.0, 228.0]
newsjersey;point;red;black;0;[717.0, 250.0]
delaware;point;red;black;0;[721.0, 272.0]
pennsylvania;polygon;blue;black;0;[708.0, 257.0, 655.0, 265.0, 649.0, 230.0, 712.0, 222.0]
pennsylvania;point;red;black;0;[680.0, 247.0]
newyork;polygon;blue;black;0;[710.0, 219.0, 730.0, 239.0, 745.0, 226.0, 728.0, 231.0, 716.0, 159.0, 650.0, 226.0]
newyork;point;red;black;0;[687.0, 199.0]
wisconsin;polygon;blue;black;0;[516.0, 183.0, 544.0, 241.0, 570.0, 233.0, 571.0, 185.0, 529.0, 164.0]
wisconsin;point;red;black;0;[545.0, 200.0]
michigan;polygon;blue;black;0;[575.0, 186.0, 607.0, 165.0, 562.0, 153.0, 542.0, 168.0]
michigan;polygon;blue;black;0;[611.0, 174.0, 635.0, 237.0, 580.0, 244.0, 589.0, 179.0]
michigan;point;red;black;0;[604.0, 211.0]
illinois;polygon;blue;black;0;[548.0, 242.0, 535.0, 272.0, 563.0, 321.0, 574.0, 308.0, 574.0, 233.0]
illinois;point;red;black;0;[555.0, 274.0]
