alabama;A1la1ba1ma3;阿拉巴马;阿拉巴馬;Alabama
alaska;A1la1si1jia1;阿拉斯加;阿拉斯加;Alaska
arizona;Ya4li4sang1na4;亚利桑那;亞利桑那;Arizona
arkansas;A1ken3se4;阿肯色;阿肯色;Arkansas
california;Jia1li4fu2ni2ya4;加利福尼亚;加利福尼亞;California
colorado;Ke1luo2la1duo1;科罗拉多;科羅拉多;Colorado
connecticut;Kang1nie4di2ge2;康涅狄格;康涅狄格;Connecticut
delaware;Te4la1hua2;特拉华;特拉華;Delaware
florida;Fo2luo2li3da2;佛罗里达;佛羅裡達;Florida
georgia;Zuo3zhi4ya4;佐治亚;佐治亞;Georgia
hawaii;Xia4wei1yi2;夏威夷;夏威夷;Hawaii
idaho;Ai4da2he2;爱达荷;愛達荷;Idaho
illinois;Yi1li4nuo4;伊利诺;伊利諾;Illinois
indiana;Yin1di4'an1na4;印地安那;印地安那;Indiana
iowa;Ai4he2hua2;爱荷华;愛荷華;Iowa
kansas;Kan1sa4si1;堪萨斯;堪薩斯;Kansas
kentucky;Ken3ta3ji1;肯塔基;肯塔基;Kentucky
louisiana;Lu4yi4si1an1na4;路易斯安那;路易斯安那;Louisiana
maine;Mian3yin1;缅因;緬因;Maine
maryland;Ma3li3lan2;马里兰;馬裡蘭;Maryland
massachusetts;Ma3sa4zhu1sai4;马萨诸塞;馬薩諸塞州;Massachusetts
michigan;Mi4zhi2gen1;密执根;密執根;Michigan
mississippi;Mi4xi1xi1bi3;密西西比;密西西比;Mississippi
missouri;Mi4su1li3;密苏里;密蘇裡;Missouri
monnesota;Ming2ni2su1da2;明尼苏达;明尼蘇達;Minnesota
montana;Meng2da4na2;蒙大拿;蒙大拿;Montana
nebraska;Nei4bu4la1si1jia1;内布拉斯加;內布拉斯加;Nebraska
nevada;Nei4hua2da2;内华达;內華達;Nevada
newhampshire;Xin1han3bu4shen2'er3;新罕布什尔;新罕布什爾;New Hampshire
newmexico;Xin1mo4xi1ge1;新墨西哥;新墨西哥;New Mexico
newsjersey;Niu3ze2xi1;纽泽西;紐澤西;New Jersey
newyork;Niu3yue1;纽约;紐約;New York
northcarolina;Bei3ka3luo2lai2na4;北卡罗来纳;北卡羅來納;North Carolina
northdakota;Bei3da2ke1ta1;北达科他;北達科他;North Dakota
ohio;E2hai4'e2;俄亥俄;俄亥俄;Ohio
oklahoma;E2ke4la1he2ma3;俄克拉何马;俄克拉何馬;Oklahoma
oregon;E2le4gang1;俄勒冈;俄勒岡;Oregon
pennsylvania;Bin1xi1fa3ni2ya4;宾夕法尼亚;賓夕法尼亞;Pennsylvania
rhodeisland;Luo2de2dao3;罗德岛;羅德島;Rhode Island
southcarolina;Nan2ka3luo2lai2na4;南卡罗来纳;南卡羅來納;South Carolina
southdakota;Nan2da2ke1ta1;南达科他;南達科他;South Dakota
tennessee;Tian2na4xi1;田纳西;田納西;Tennessee
texas;De2ke4sa4si1;德克萨斯;德克薩斯;Texas
utah;You2ta1;犹他;猶他;Utah
vermont;Wei2meng1te4;维蒙特;維蒙特;Vermont
virginia;Fu2ji2ni2ya4;弗吉尼亚;弗吉尼亞;Virginia
washington;Hua2sheng4dun4;华盛顿;華盛頓;Washington
westvirginia;Xi1fu2ji2ni2ya4;西弗吉尼亚;西弗吉尼亞;West Virginia
wisconsin;Wei1si1kang1xin1;威斯康辛;威斯康辛;Wisconsin
wyoming;Huai2e2ming2;怀俄明;懷俄明;Wyoming
