alabama;A1la1ba1ma3
alaska;A1la1si1jia1
arizona;Ya4li4sang1na4
arkansas;A1ken3se4
california;Jia1li4fu2ni2ya4
colorado;Ke1luo2la1duo1
connecticut;Kang1nie4di2ge2
delaware;Te4la1hua2
florida;Fo2luo2li3da2
georgia;Zuo3zhi4ya4
hawaii;Xia4wei1yi2
idaho;Ai4da2he2
illinois;Yi1li4nuo4
indiana;Yin1di4'an1na4
iowa;Ai4he2hua2
kansas;Kan1sa4si1
kentucky;Ken3ta3ji1
louisiana;Lu4yi4si1an1na4
maine;Mian3yin1
maryland;Ma3li3lan2
massachusetts;Ma3sa4zhu1sai4
michigan;Mi4zhi2gen1
mississippi;Mi4xi1xi1bi3
missouri;Mi4su1li3
monnesota;Ming2ni2su1da2
montana;Meng2da4na2
nebraska;Nei4bu4la1si1jia1
nevada;Nei4hua2da2
newhampshire;Xin1han3bu4shen2'er3
newmexico;Xin1mo4xi1ge1
newsjersey;Niu3ze2xi1
newyork;Niu3yue1
northcarolina;Bei3ka3luo2lai2na4
northdakota;Bei3da2ke1ta1
ohio;E2hai4'e2
oklahoma;E2ke4la1he2ma3
oregon;E2le4gang1
pennsylvania;Bin1xi1fa3ni2ya4
rhodeisland;Luo2de2dao3
southcarolina;Nan2ka3luo2lai2na4
southdakota;Nan2da2ke1ta1
tennessee;Tian2na4xi1
texas;De2ke4sa4si1
utah;You2ta1
vermont;Wei2meng1te4
virginia;Fu2ji2ni2ya4
washington;Hua2sheng4dun4
westvirginia;Xi1fu2ji2ni2ya4
wisconsin;Wei1si1kang1xin1
wyoming;Huai2e2ming2
