alabama;阿拉巴马
alaska;阿拉斯加
arizona;亚利桑那
arkansas;阿肯色
california;加利福尼亚
colorado;科罗拉多
connecticut;康涅狄格
delaware;特拉华
florida;佛罗里达
georgia;佐治亚
hawaii;夏威夷
idaho;爱达荷
illinois;伊利诺
indiana;印地安那
iowa;爱荷华
kansas;堪萨斯
kentucky;肯塔基
louisiana;路易斯安那
maine;缅因
maryland;马里兰
massachusetts;马萨诸塞
michigan;密执根
mississippi;密西西比
missouri;密苏里
monnesota;明尼苏达
montana;蒙大拿
nebraska;内布拉斯加
nevada;内华达
newhampshire;新罕布什尔
newmexico;新墨西哥
newsjersey;纽泽西
newyork;纽约
northcarolina;北卡罗来纳
northdakota;北达科他
ohio;俄亥俄
oklahoma;俄克拉何马
oregon;俄勒冈
pennsylvania;宾夕法尼亚
rhodeisland;罗德岛
southcarolina;南卡罗来纳
southdakota;南达科他
tennessee;田纳西
texas;德克萨斯
utah;犹他
vermont;维蒙特
virginia;弗吉尼亚
washington;华盛顿
westvirginia;西弗吉尼亚
wisconsin;威斯康辛
wyoming;怀俄明
