"key","English","Chinese_Pinyin","Chinese_Simplified","Chinese_traditional"
"kazakstan","Kazakstan","Hāsàkè","哈萨克","哈薩克"
"mongolia","Mongolia","Ménggǔguó","蒙古国","蒙古國"
"china","China","Zhōngguó","中国","中國"
"india","India","Yìndù","印度","印度"
"nepal","Nepal","Níbó'ěr","尼泊尔","尼泊爾"
"bangladesh","Bangladesh","Mèngjiālāguó","孟加拉国","孟加拉國"
"burma","Burma","Miǎn","缅","緬"
"thailand","Thailand","Tàiguó","泰国","泰國"
"laos","Laos","Lǎowō","老挝","老撾"
"cambodia","Cambodia","Jiǎnpǔzhài","柬埔寨","柬埔寨"
"vietnam","Vietnam","Yuènán","越南","越南"
"northkorea","North Korea","Cháoxiǎn","朝鲜","朝鮮"
"southkorea","South Korea","Dàihán","大韩","大韓"
"japan","Japan","Ríběn","日本","日本"
"srilanka","Sri Lanka","Sīlǐlánkǎ","斯里兰卡","斯里蘭卡"
"maldives","Maldives","Mǎ'ěrdàifū","马尔代夫","馬爾代夫"
"malaysia","Malaysia","Mǎláixīyà","马来西亚","馬來西亞"
"brunei","Brunei","Wénlái","文莱","文萊"
"easttimor","East Timor","Dōngdìwèn","东帝汶","東帝汶"
"indonesia","Indonesia","Yìnníyà","印尼亚","印尼亞"
"philippines","the Philippines","Fēilǜbīn","菲律宾","菲律賓"
"bhutan","Bhutan","Bùdān","不丹","不丹"
"singapore","Singapore","Xīnjiāpō","新加坡","新加坡"
