"Key","English","Chinese_Pinyin","Chinese_Simplified","Chinese_traditional"
"canada","Canada","Jiānádà","加拿大","加拿大"
"usa","United States","Měiguó","美国","美國"
"mexico","Mexico","Mòxīgē","墨西哥","墨西哥"
"guatemala","Guatemala","Guādìmǎlā","瓜地马拉","瓜地馬拉"
"belize","Belize","Bólìzī","伯利兹","伯利茲"
"honduras","Honduras","Hóngdūlāsī","洪都拉斯","洪都拉斯"
"elsalvador","El Salvador","Sà'Ěrwǎduō","萨尔瓦多","薩爾瓦多"
"nicaragua","Nicaragua","Níjiālāguā","尼加拉瓜","尼加拉瓜"
"costarica","Costa Rica","Gēsīdálíjiā","哥斯达黎加","哥斯達黎加"
"panama","Panama","Bānámǎ","巴拿马","巴拿馬"
"cuba","Cuba","Gǔbā","古巴","古巴"
"jamaica","Jamaica","Yámǎijiā","牙买加","牙買加"
"haiti","Haiti","Hǎidì","海地","海地"
"dominicanrepublic","Dominican Republic","Duōmíngníjiā","多明尼加","多明尼加"
"puertorico","Puerto Rico","Bōdiōlígè","波多黎各","波多黎各"
"bahamas","the Bahamas","Bāhāmǎ","巴哈马","巴哈馬"
