"Key","English","Chinese_Pinyin","Chinese_Simplified","Chinese_traditional"
"colombia","Colombia","Gēlúnbǐyà","哥伦比亚","哥倫比亞"
"venezuela","Venezuela","Wěinèiruìlā","委内瑞拉","委內瑞拉"
"guyana","Guyana","Guīyànà","圭亚那","圭亞那"
"surinam","Surinam","Sūlǐnán","苏里南","蘇里南"
"frenchguyana","French Guyana","Fǎshǔguīyànà","法属圭亚那","法屬圭亞那"
"brazil","Brazil","Bāxī","巴西","巴西"
"ecuador","Ecuador","Èguāduō'ěr","厄瓜多尔","厄瓜多爾"
"peru","Peru","Mìlǔ","秘鲁","秘魯"
"bolivia","Bolivia","Bōlìwéiyà","玻利维亚","玻利維亞"
"paraguay","Paraguay","Bālāguī","巴拉圭","巴拉圭"
"uruguay","Uruguay","Wūlāguī","乌拉圭","烏拉圭"
"argentina","Argentina","Āgēntíng","阿根廷","阿根廷"
"chile","Chile","Zhìlì","智利","智利"
