norway;Nuo2wei1;挪威;挪威;Norway
sweden;Rui4dian3;瑞典;瑞典;Sweden
finland;Fen1lan2;芬兰;芬蘭;Finland
estonia;Ai4sha1ni2ya4;爱沙尼亚;愛沙尼亞;Estonia
latvia;La1tuo1wei2ya4;拉脱维亚;拉脫維亞;Latvia
lithuania;Li4tao2wan3;立陶宛;立陶宛;Lithuainia
poland;Bo1lan2;波兰;波蘭;Poland
germany;De2guo2;德国;德國;Germany
denmark;Dan1mai4;丹麦;丹麥;Denmark
holland;Ni2de2lan2;尼德兰;尼德兰;Netherlands
belgium;Bi4li4shi2;比利时;比利時;Belgium
luxemburg;Lu2sen1bao3;卢森堡;盧森堡;Luxembourg
france;Fa3guo2;法国;法國;France
uk;Ying1guo2;英国;英國;Britain
ireland;Ai4'er3lan2;爱尔兰;愛爾蘭;Ireland
iceland;Bing1dao3;冰岛;冰岛;Iceland
spain;Xi1ban1ya2;西班牙;西班牙;Spain
portugal;Pu2tao2ya2;葡萄牙;葡萄牙;Portugal
switzerland;Rui4shi4;瑞士;瑞士;Switzerland
austria;Ao4di4li4;奥地利;奧地利;Austria
czech;Jie2ke4gong4he2guo2;捷克共和国;捷克共和國;Czech Republic
slovakia;Si1luo4fa2ke4;	斯洛伐克;斯洛伐克;Slovakia
italy;Yi4da4li4;意大利;意大利;Italy
slovenia;Si1luo4wen2ni2ya4;斯洛文尼亚;斯洛文尼亞;Slovenia
hungary;Xiong1ya2li4;匈牙利;匈牙利;Hungary
croatia;Ke4luo2di4ya4;克罗地亚;克羅地亞;Croatia
bosher;Bo1si1ni2ya4;波斯尼亚;波斯尼亞;Bosnia
montenegro;Hei1shan1;黑山;黑山;Montenegro
serbia;Sai1'er3wei2ya4;塞尔维亚;塞爾維亞;Serbia
albania;A1'er3ba1ni2ya4;阿尔巴尼亚;阿爾巴尼亞;Albania
macedonia;Ma3qi2dun4;马其顿;馬其頓;Macedonia
greece;Xi1la4;希腊;希臘;Greece
bulgaria;Bao3jia1li4ya4;保加利亚;保加利亞;Bulgaria
romania;Luo2ma3ni2ya4;罗马尼亚;羅馬尼亞;Romania
moldova;Mo2'er3duo1wa3;摩尔多瓦;摩爾多瓦;Moldova
ukraine;Wu1ke4lan2;乌克兰;烏克蘭;Ukraine
belarus;Bai2'er2luo2si1;白俄罗斯;白俄羅斯;Belarus
russia;E2guo2;俄国;俄國;Russia
