"Key","Latin","English"
"AA2","acta est fabula plaudite","The play has been performed; applaud!"
"AA3","adversus solem ne loquitor","don't speak against the sun"
"AA4","aegrescit medendo","the disease worsens with the treatmen"
"AA5","aeternum vale","farewell forever"
"AA6","alea iacta est","the die is cast"
"AA7","altissima quaeque flumina minimo sono labi","still waters run deep"
"AA8","amare et sapere vix deo conceditur","even a god finds it hard to love and be wise at the same time"
"AA9","amicus humani generis","a friend of the human race"
"AA10","amor vincit omnia","love conquers all"
"AA11","ars longa vita brevis","art is long but life is short."
"AA12","audaces fortuna iuvat","fortune favours the bold"
"AA13","aut disce aut discede","either learn or leave"
"AA14","aut viam inveniam aut faciam","I'll either find a way or make one"
"AA15","aut vincere aut mori","either to conquer or to die"
"AA16","ave Caesar morituri te salutamus","hail Caesar we who are about to die salute you"
"AA17","beneficium accipere libertatem est vendere","to accept a favour is to sell one's freedom"
"AA18","bonum vinum laetificat cor hominis","good wine gladdens a person's heart"
"AA19","carpe diem","seize the day"
"AA20","caveat emptor","let the buyer beware"
"AA21","cogito ergo sum","I think therefore I exist"
"AA22","cum grano salis","with a grain of salt"
"AA23","de duobus malis minus est semper eligendum","of two evils the lesser is always to be chosen"
"AA24","diem perdidi","I have lost a day"
"AA25","dixi","I have spoken"
"AA26","docendo discimus","teach in order to learn"
"AA27","dura lex sed lex","the law is hard but it is the law"
"AA28","errare humanum est","to err is human"
"AA29","facta non verba","deeds not words"
"AA30","fortes fortuna iuvat","fortune favours the brave"
"AA31","mens sana in corpore sano","a sound mind in a sound body"
"AA32","navigare necesse est vivere non est necesse","to sail is necessary; to live is not necessary"
"AA33","nemo liber est qui corpori servit","no one is free who is a slave to his body"
"AA34","nemo saltat sobrius","Nobody dances sober"
"AA35","noli turbare circulos meos","Do not disturb my circles!"
"AA36","non mihi non tibi sed nobis","not for you not for me but for us"
"AA37","non semper erit aestas","it will not always be summer"
"AA38","nulli secundus","second to none"
"AA39","omnia mutantur nos et mutamur in illis","all things change and we change with them"
"AA40","parva leves capiunt animas","small things occupy light minds"
"AA41","pessimum genus inimicorum laudantes","flatterers are the worst type of enemies"
"AA42","potius mori quam foedari","rather to die than to be dishonoured"
"AA43","quem di diligunt adolescens moritur","whom the gods love die young"
"AA44","quid novi?","what's new?"
"AA45","qui scribit bis legit","he who writes reads twice"
"AA46","repetitio est mater studiorum","repetition is the mother of study"
"AA47","si fecisti nega!","if you did it deny it"
"AA48","vade in pace","Go in peace"
"AA49","veni vidi vici","I came I saw I conquered"
"AA50","veritas vos liberabit","the truth shall make you free"
"AA51","victis honor","honour to the vanquished"
