key,Chinese,Pinyin,English
AA2,你,nǐ,you
AA3,好,hǎo,good
AA4,吗,ma,"question particle"
AA5,我,wǒ,I/me
AA6,很,hěn,very
AA7,呢,ne,"question particle"
AA8,也,yě,also/too
AA9,忙,máng,busy
AA10,不,bù,not
AA11,哥哥,"gē ge","elder brother"
AA12,他,tā,he/him
AA13,弟弟,"dì di","younger brother"
AA14,他们,"tā men",they
AA15,都,dōu,all
AA16,这,zhè,this
AA17,是,shì,"to be"
AA18,朋友,"péng you",friend
AA19,爸爸,"bà ba",father
AA20,妈妈,"mā ma",mother
AA21,你们,"nǐ men","you plural"
AA22,大夫,"dài fu",doctor
AA23,的,de,of
AA24,车,chē,vehicle
AA25,那,nà,that
AA26,她,tā,she
AA27,书,shū,book
AA28,报,bào,newspaper
AA29,纸,zhǐ,paper
AA30,尺,chǐ,ruler
AA31,笔,bǐ,pen
AA32,哪,nǎ,which
AA33,国,guó,country
AA34,人,rén,person
AA35,谁,shéi,who
AA36,我们,"wǒ men",we
AA37,老师,"lǎo shī",teacher
AA38,汉语,"Hàn yǔ","spoken Chinese"
AA39,中国,"Zhōng guó",China
AA40,德国,"Dé guó",Germany
AA41,法国,"Fǎ guó",France
AA42,美国,"Měi guó",USA
AA43,马里,"Mǎ lǐ",Mali
AA44,日本,"Rì běn",Japan
AA45,什么,"shén me",what
AA46,地图,"dì tú",map
AA47,看,kàn,"to look"
AA48,请,qǐng,please
AA49,北京,"Běi jīng",Beijing
AA50,上海,"Shàng hǎi",Shanghai
AA51,长江,"Cháng Jiāng","Yangtse River"
AA52,黄河,"Huáng Hé","Yellow River"
AA53,长城,"Cháng chéng","the Great Wall"
AA54,世界,"shì jiè",world
AA55,欧洲,"ōu zhōu",Europe
AA56,非洲,"Fēi Zhōu",Africa
AA57,大洋周,"Dà yáng Zhōu",Oceania
AA58,南美洲,"Nán Měi Zhōu","South America"
AA59,请,qǐng,please
AA60,喝,hē,"to drink"
AA61,茶,chá,tea
AA62,您,nín,you
AA63,进,jìn,"to enter"
AA64,欢迎,"huān yíng","to welcome"
AA65,谢谢,"xiè xie","to thank"
AA66,客气,"kè qi",polite
AA67,吸烟,"xī yān","to smoke"
AA68,咖啡,"kā fēi",coffee
AA69,啤酒,"pí jiǔ",beer
AA70,牛奶,"niú nǎi",milk
AA71,先生,"xiān sheng",Mr.
AA72,太太,"tài tai",Mrs.
AA73,贵姓,"guì xìng","what's your name?"
AA74,请问,"qǐng wèn","May I ask..."
AA75,问,wèn,"to ask"
AA76,留学生,"liú xué shēng","abroad student"
AA77,姓,xìng,surname
AA78,叫,jiào,"to call"
AA79,外语,"wài yǔ","foreign language"
AA80,学院,"xué yuàn",college
AA81,学生,"xué sheng",student
AA82,学习,"xué xí","to study/to learn"
AA83,小姐,"xiǎo jie",miss
AA84,女士,"nǚ shì",madam
AA85,同志,"tóng zhì",comrade
AA86,朝鲜,"Cháo xiǎn",Korea
AA87,英国,"Yīng guó",Britain
AA88,在,zài,in
AA89,坐,zuò,"to sit"
AA90,哪儿,nǎr,where
AA91,宿舍,"sù shè",dormitory
AA92,住,zhù,"to live"
AA93,多少,"duō shao","how much"
AA94,号,hào,number
AA95,层,céng,"story of a building"
AA96,医院,"yī yuàn",hospital
AA97,厕所,"cè suǒ",toilet
AA98,这儿,zhèr,here
AA99,那儿,nàr,there
