"key","English","Swahili"
"AA2","And","Na"
"AA3","Animals","Wanyama"
"AA4","Answer","Jibu"
"AA5","Ask","Uliza"
"AA6","Chair","Kiti"
"AA7","Coffee","Kahawa"
"AA8","Come here","Njo Hapa"
"AA9","Danger","Hatari"
"AA10","Drink","Kunywa"
"AA11","Driver","Dereva"
"AA12","Eat","Kula"
"AA13","Excuse me!","Samahani!"
"AA14","Fish","Samaki"
"AA15","Food","Chakula"
"AA16","Friend","Rafiki"
"AA17","Give me","Nipe"
"AA18","Good","Nzuri"
"AA19","Goodbye","Kwaheli"
"AA20","He","Yeye"
"AA21","Hello","Jambo"
"AA22","Help me, please!","Nisaidie, tafadhali!"
"AA23","How are you?-","Habari"
"AA24","Hunger","Njaa"
"AA25","I","Mimi"
"AA26","I do not have","Sina"
"AA27","I do not know","Sijui"
"AA28","I love you!","Ninakupenda!"
"AA29","Leopard","Chui"
"AA30","Lion","Simba"
"AA31","Luggage","Mizigo"
"AA32","Man","Mwnamume"
"AA33","Name","Jina"
"AA34","No!","Hapana!"
"AA35","Now","Sasa"
"AA36","OK!","Sawa"
"AA37","People","Watu"
"AA38","Please","Tafadhali"
"AA39","Quickly","Upesi"
"AA40","Road","Njia"
"AA41","Shop","Maduka"
"AA42","Shut","Funga"
"AA43","Sing","Imba"
"AA44","Slowly","Plepole"
"AA45","Sorry","Samahani"
"AA46","Tea","Chai"
"AA47","Teacher","Mwalimu"
"AA48","Thank you","Asante"
"AA49","There","Pale"
"AA50","They","Wao"
"AA51","Today","Leo"
"AA52","Tomorrow","Kesho"
"AA53","Tourist","Mutari"
"AA54","Traveller","Msafiri"
"AA55","Tree","Mti"
"AA56","Village","Kijiji"
"AA57","Water","Maji"
"AA58","We","Sisi"
"AA59","Welcome!","Karibu"
"AA60","What?","Nini?"
"AA61","When?","Wkatigani"
"AA62","Where?","Wapi?"
"AA63","Which?","Ipi?"
"AA64","Write","Andika"
"AA65","Yes","Ndiyo"
"AA66","You","Wewe"
